"","yearly_id","WR","snap_count","team_snaps","snap_personnel_usage"
"120","2021_00-0027691",3,27,311,8.68167202572347
"121","2021_00-0027691",4,0,1,0
"122","2021_00-0027696",0,1,1,100
"123","2021_00-0027696",1,51,64,79.6875
"124","2021_00-0027696",2,106,192,55.2083333333333
"125","2021_00-0027696",3,66,586,11.2627986348123
"126","2021_00-0027696",4,0,4,0
"127","2021_00-0027793",1,0,20,0
"128","2021_00-0027793",2,39,120,32.5
"129","2021_00-0027793",3,207,281,73.6654804270463
"130","2021_00-0027793",4,17,18,94.4444444444444
"131","2021_00-0027857",0,6,6,100
"132","2021_00-0027857",1,82,88,93.1818181818182
"133","2021_00-0027857",2,468,471,99.3630573248408
"134","2021_00-0027857",3,517,541,95.5637707948244
"135","2021_00-0027857",4,1,1,100
"136","2021_00-0027875",1,0,4,0
"137","2021_00-0027875",2,17,27,62.962962962963
"138","2021_00-0027875",3,28,45,62.2222222222222
"139","2021_00-0027875",4,0,1,0
"140","2021_00-0027939",1,10,33,30.3030303030303
"141","2021_00-0027939",2,47,106,44.3396226415094
"142","2021_00-0027939",3,126,322,39.1304347826087
"143","2021_00-0027939",4,1,1,100
"144","2021_00-0027942",1,7,47,14.8936170212766
"145","2021_00-0027942",2,154,263,58.5551330798479
"146","2021_00-0027942",3,572,624,91.6666666666667
"147","2021_00-0027942",4,161,164,98.1707317073171
"148","2021_00-0027942",5,1,1,100
"149","2021_00-0027944",1,6,75,8
"150","2021_00-0027944",2,124,192,64.5833333333333
"151","2021_00-0027944",3,280,378,74.0740740740741
"152","2021_00-0027944",4,3,3,100
"153","2021_00-0027947",1,15,18,83.3333333333333
"154","2021_00-0027947",2,209,227,92.0704845814978
"155","2021_00-0027947",3,516,566,91.1660777385159
"156","2021_00-0027947",4,11,11,100
"157","2021_00-0027947",5,2,2,100
"158","2021_00-0027948",1,10,17,58.8235294117647
"159","2021_00-0027948",2,15,90,16.6666666666667
"160","2021_00-0027948",3,19,249,7.63052208835341
"161","2021_00-0027948",4,0,14,0
"162","2021_00-0027955",0,9,9,100
"163","2021_00-0027955",1,53,55,96.3636363636364
"164","2021_00-0027955",2,250,259,96.5250965250965
"165","2021_00-0027955",3,486,542,89.6678966789668
"166","2021_00-0027955",4,9,9,100
"167","2021_00-0027966",1,44,60,73.3333333333333
"168","2021_00-0027966",2,138,212,65.0943396226415
"169","2021_00-0027966",3,121,435,27.816091954023
"170","2021_00-0027966",4,1,42,2.38095238095238
"171","2021_00-0027973",0,1,1,100
"172","2021_00-0027973",1,25,31,80.6451612903226
"173","2021_00-0027973",2,71,109,65.1376146788991
"174","2021_00-0027973",3,249,334,74.5508982035928
"175","2021_00-0027973",4,2,2,100
"176","2021_00-0027981",0,9,9,100
"177","2021_00-0027981",1,48,53,90.5660377358491
"178","2021_00-0027981",2,222,257,86.3813229571984
"179","2021_00-0027981",3,141,572,24.6503496503496
"180","2021_00-0027981",4,1,9,11.1111111111111
"181","2021_00-0027993",1,36,36,100
"182","2021_00-0027993",2,233,244,95.4918032786885
"183","2021_00-0027993",3,497,510,97.4509803921569
"184","2021_00-0027993",4,92,96,95.8333333333333
"185","2021_00-0028002",1,0,16,0
"186","2021_00-0028002",2,3,259,1.15830115830116
"187","2021_00-0028002",3,328,463,70.8423326133909
"188","2021_00-0028002",4,51,58,87.9310344827586
"189","2021_00-0028002",5,1,1,100
"190","2021_00-0028042",0,1,1,100
"191","2021_00-0028042",1,67,68,98.5294117647059
"192","2021_00-0028042",2,46,258,17.8294573643411
"193","2021_00-0028042",3,5,337,1.48367952522255
"194","2021_00-0028042",4,0,61,0
"195","2021_00-0028063",1,0,1,0
"196","2021_00-0028063",2,0,2,0
"197","2021_00-0028063",3,1,55,1.81818181818182
"198","2021_00-0028063",4,0,12,0
"199","2021_00-0028076",1,23,29,79.3103448275862
"200","2021_00-0028076",2,77,88,87.5
"201","2021_00-0028076",3,111,122,90.983606557377
"202","2021_00-0028097",0,10,10,100
"203","2021_00-0028097",1,136,202,67.3267326732673
"204","2021_00-0028097",2,135,420,32.1428571428571
