"","yearly_id","WR1","WR2","WR3","WR4","RB1","RB2","TE1","TE2"
"1","2016_00-0019596",84.375,94.9404761904762,99.0825688073395,100,98.7272727272727,93.3797909407666,96.8586387434555,95.4802259887006
"2","2016_00-0020337",0,76.2057877813505,78.003696857671,75,73.9946380697051,64.2424242424242,77.3095623987034,65.843621399177
"3","2016_00-0020531",100,100,100,100,100,100,100,100
"4","2016_00-0020679",78.2608695652174,32.5,32.5396825396825,0,34.640522875817,52.7777777777778,35.0746268656716,47.6190476190476
"5","2016_00-0021206",81.4814814814815,75,83.9195979899498,0,82.1292775665399,76.9230769230769,82.4561403508772,78.9473684210526
"6","2016_00-0021429",80.8510638297872,97.2332015810277,98.8054607508532,94.4,96.972860125261,97.9591836734694,98.7951807228916,96.5811965811966
"7","2016_00-0021547",57.3033707865169,18.957345971564,82.0560747663551,80,69.3370165745856,16.1290322580645,76.7764298093587,24.3478260869565
"8","2016_00-0021678",0,7.69230769230769,12.8205128205128,0,12.8205128205128,7.69230769230769,11.3207547169811,0
"9","2016_00-0022084",31.5789473684211,34.7517730496454,91.3324708926261,100,83.9779005524862,53.968253968254,89.8408812729498,25
"10","2016_00-0022127",96.7213114754098,95.3389830508475,95.7413249211357,100,96.6584158415842,89.344262295082,94.9333333333333,99.0049751243781
"11","2016_00-0022531",94.2028985507246,97.3684210526316,96.8646864686469,97.8260869565217,96.6814159292035,100,97.029702970297,97.2318339100346
"12","2016_00-0022787",42.8571428571429,9.80392156862745,6.84931506849315,0,6.4,19.6969696969697,9.375,16.3636363636364
"13","2016_00-0022803",100,100,100,100,100,0,100,100
"14","2016_00-0022921",28.5714285714286,92.0863309352518,96.5964343598055,98.4962406015038,93.0392156862745,81.1320754716981,96.2295081967213,89.6551724137931
"15","2016_00-0022924",92.1875,98.8304093567251,99.8491704374057,100,99.1626794258373,98.4375,99.8583569405099,98.0891719745223
"16","2016_00-0022942",96.7741935483871,99.5798319327731,99.8366013071895,100,99.7563946406821,97.0873786407767,99.851411589896,98.4313725490196
"17","2016_00-0022999",62.5,51.1210762331839,8.34645669291339,37.037037037037,7.3394495412844,95.9183673469388,21.1668928086839,16.6666666666667
"18","2016_00-0023436",90.9774436090226,95.9731543624161,95.8847736625514,96.1538461538462,95.3145917001339,95.8041958041958,96.2003454231433,94.4915254237288
"19","2016_00-0023459",100,94.2857142857143,99.6932515337423,98.3935742971888,99.2526158445441,97.8571428571428,98.9285714285714,95.5882352941177
"20","2016_00-0023496",27.7777777777778,82.2222222222222,94.0092165898618,100,89.2733564013841,70.2702702702703,93.3609958506224,70.8333333333333
"21","2016_00-0023500",72.3076923076923,85.3582554517134,44.0894568690096,0,59.7194388777555,33.3333333333333,45.0406504065041,81.981981981982
"22","2016_00-0023514",68.75,71.25,74.0157480314961,77.2727272727273,75.3968253968254,40,74.5762711864407,71.25
"23","2016_00-0023516",100,99.7711670480549,99.748743718593,100,99.8214285714286,99.6923076923077,99.7080291970803,100
"24","2016_00-0023564",17.4603174603175,49.800796812749,56.4685314685315,52.1739130434783,53.1395348837209,100,57.5268817204301,44.5692883895131
"25","2016_00-0023639",96.3414634146341,94.1798941798942,93.010752688172,100,93.1486880466472,95.8620689655172,93.6204146730462,92.9824561403509
"26","2016_00-0023645",13.3333333333333,27.3504273504274,23.9263803680982,0,24.6031746031746,27.906976744186,25.130890052356,24.5098039215686
"27","2016_00-0023662",24.0740740740741,41.5584415584416,47.6744186046512,0,38.3233532934132,39.1304347826087,45.945945945946,42.6470588235294
"28","2016_00-0023682",100,89.2086330935252,83.4645669291339,85.8131487889273,85.7697283311772,80.8510638297872,84.2105263157895,89.3617021276596
"29","2016_00-0024217",21.7391304347826,11.7302052785924,9.00621118012422,0,6.05381165919283,18.0392156862745,13.2969034608379,1.88679245283019
"30","2016_00-0024221",100,99.3630573248408,49.7260273972603,0,61.5062761506276,0,49.7260273972603,99.3630573248408
"31","2016_00-0024226",100,100,90.9090909090909,0,93.8271604938272,0,90.9090909090909,100
"32","2016_00-0024242",73.5849056603774,50.9259259259259,42.7435387673956,0,44.4444444444444,73.3333333333333,42.4812030075188,57.843137254902
"33","2016_00-0024243",92.3076923076923,86.3309352517986,22.972972972973,0,38.5008517887564,75,21.9954648526077,86.4864864864865
"34","2016_00-0024244",100,75.9036144578313,86.1904761904762,86.8131868131868,84.5315904139434,92,85.5614973262032,76.4705882352941
"35","2016_00-0024264",37.5,4.76190476190476,2.94117647058824,0,3.92156862745098,25,2.4390243902439,21.0526315789474
"36","2016_00-0024268",93.9759036144578,71.6666666666667,10.5571847507331,0,44.3014705882353,61.1702127659574,16.9336384439359,95.6937799043062
"37","2016_00-0024270",86.3636363636364,97.0443349753695,98.8950276243094,100,97.9423868312757,100,98.8934993084371,97.0443349753695
"38","2016_00-0024271",100,100,100,100,100,100,100,100
"39","2016_00-0024272",0,0,1.75438596491228,33.3333333333333,1.06382978723404,2.4390243902439,0,0
"40","2016_00-0024281",58.8235294117647,38.0530973451327,39.1120507399577,100,40.1612903225806,0,39.1949152542373,38.0530973451327
"41","2016_00-0024323",100,98.6547085201794,98.8976377952756,100,99.0825688073395,97.9591836734694,98.6431478968792,100
"42","2016_00-0024334",72.7272727272727,89.8089171974522,89.3111638954869,96.8652037617555,92.0710059171598,88.8888888888889,89.247311827957,88.4615384615385
"43","2016_00-0024389",85.8064516129032,51.9650655021834,86.4864864864865,0,81.404174573055,54.8022598870056,79.3838862559242,60.5911330049261
"44","2016_00-0024424",100,97.7578475336323,97.7952755905512,96.2962962962963,98.0340760157274,96.5986394557823,97.6933514246947,99.2424242424242
"45","2016_00-0024535",18.6666666666667,1.89393939393939,0,0,0.911161731207289,7.89473684210526,0.229885057471264,12.7659574468085
"46","2016_00-0025390",100,100,100,100,100,100,100,100
"47","2016_00-0025394",54.8387096774194,92.3076923076923,36.7521367521368,0,42.2535211267606,75,41.7322834645669,73.6842105263158
"48","2016_00-0025396",0,64.2105263157895,73.6648250460405,100,69.5652173913043,46.8531468531469,73.1974921630094,53.7764350453172
"49","2016_00-0025415",100,100,100,0,100,0,100,100
"50","2016_00-0025418",98,92.1052631578947,94.1068139963168,100,94.9275362318841,85.3146853146853,91.8495297805643,96.6767371601209
"51","2016_00-0025430",52.3809523809524,38.5542168674699,27.7372262773723,42.8571428571429,34.0823970037453,55.5555555555556,27.2727272727273,40.2298850574713
"52","2016_00-0025446",73.3333333333333,93.0635838150289,88.9273356401384,0,90.3448275862069,82.4561403508772,89.3416927899686,89.2857142857143
"53","2016_00-0025473",92.3076923076923,98.2758620689655,99.1886409736308,100,98.9840348330914,95.9183673469388,98.7477638640429,97.7973568281938
"54","2016_00-0025506",72.5490196078431,85.024154589372,82.1100917431193,80,82.0029027576197,100,82.0276497695853,85
"55","2016_00-0025509",100,100,100,100,100,100,100,100
"56","2016_00-0025512",100,100,99.6894409937888,100,99.7521685254027,100,99.6894409937888,100
"57","2016_00-0025549",100,47.3684210526316,22.4422442244224,2.17391304347826,35.0663716814159,28.5714285714286,22.1122112211221,43.598615916955
"58","2016_00-0025708",100,93.9393939393939,81.651376146789,100,83.6575875486381,100,81.5668202764977,93.9393939393939
"59","2016_00-0025820",57.1428571428571,78.8461538461538,76.3736263736264,0,76.9230769230769,75,75.609756097561,79.4117647058823
"60","2016_00-0025900",100,96.44128113879,95.2941176470588,100,96.078431372549,95.9183673469388,94.9790794979079,97.9838709677419
"61","2016_00-0026008",100,90.5405405405405,18.9010989010989,0,28.6806883365201,66.6666666666667,19.8294243070362,97.0149253731343
"62","2016_00-0026019",0,8.10810810810811,62.5,0,47.7064220183486,5,56.043956043956,5.71428571428571
"63","2016_00-0026035",0,6.45161290322581,55.3530751708428,100,44.5742904841402,9.12698412698413,44.043321299639,3.41880341880342
"64","2016_00-0026069",92,35.7894736842105,14.9171270718232,0,14.7342995169082,99.3006993006993,27.742946708464,25.6797583081571
"65","2016_00-0026143",95.4545454545455,97.8858350951374,99.0196078431373,100,98.9795918367347,96.165191740413,98.4943538268507,96.0352422907489
"66","2016_00-0026144",44.4444444444444,32.5581395348837,15.2777777777778,0,15.7232704402516,40.5405405405405,17.8378378378378,29.1666666666667
"67","2016_00-0026152",100,100,100,100,100,100,100,100
"68","2016_00-0026153",86.3636363636364,72.4683544303797,52.3041474654378,0,57.1641791044776,90.983606557377,58.7548638132296,68.3453237410072
"69","2016_00-0026155",100,95.1456310679612,97.6143141153081,100,97.2668810289389,100,97.6143141153081,95.1923076923077
"70","2016_00-0026157",84.6153846153846,58.4905660377358,63.3663366336634,0,59.7315436241611,94.4444444444444,64.4859813084112,58
"71","2016_00-0026158",90,98.2758620689655,98.3844911147011,100,98.4669811320755,94.8186528497409,98.0364656381487,96.9230769230769
"72","2016_00-0026164",61.1111111111111,21.7391304347826,10.2189781021898,3.77358490566038,15.8490566037736,0,10.8527131782946,22.3880597014925
"73","2016_00-0026166",100,94.392523364486,91.3207547169811,100,90.9560723514212,100,92.5806451612903,93.3333333333333
"74","2016_00-0026176",71.4285714285714,81.7204301075269,89.4039735099338,95.5823293172691,88.961038961039,84.9624060150376,92.1419518377693,63.9344262295082
"75","2016_00-0026182",0,2.36220472440945,79.4594594594595,100,57.9256360078278,0,79.4594594594595,3.125
"76","2016_00-0026184",72.7272727272727,76.056338028169,65.3944020356234,23.202614379085,52.7777777777778,43.3333333333333,67.4351585014409,78.7234042553192
"77","2016_00-0026189",43.3333333333333,70.5479452054795,78.0523255813954,0,74.496644295302,0,78.0523255813954,70.5479452054795
"78","2016_00-0026197",100,0,0,0,0,100,0,3.84615384615385
"79","2016_00-0026201",100,92.2885572139303,65.7986111111111,0,76.5432098765432,75.6373937677054,76.5582655826558,100
"80","2016_00-0026205",96.2962962962963,97.1751412429379,96.2441314553991,100,96.1887477313975,98.2905982905983,96.6796875,96.1832061068702
"81","2016_00-0026213",13.7931034482759,11.3207547169811,15.4639175257732,0,12.7659574468085,22.5806451612903,14.0350877192982,4.76190476190476
"82","2016_00-0026223",90,97.9885057471264,98.546042003231,100,98.5849056603774,94.300518134715,98.1767180925666,96.1538461538462
"83","2016_00-0026224",9.32203389830508,20.5405405405405,48.3018867924528,100,36.6028708133971,17.037037037037,39.5894428152493,23.2704402515723
"84","2016_00-0026248",47.6190476190476,83.7837837837838,85.9375,0,81.1827956989247,0,85.9375,83.7837837837838
"85","2016_00-0026267",91.304347826087,39.4618834080717,80,0,84.0909090909091,13.6054421768707,52.212389380531,80.1980198019802
"86","2016_00-0026270",50,22.5806451612903,36.9565217391304,50,35.1351351351351,29.4117647058824,35.1851851851852,27.2727272727273
"87","2016_00-0026275",89.4736842105263,85.7954545454545,91.9230769230769,100,90.3089887640449,0,91.9075144508671,85.9550561797753
"88","2016_00-0026281",100,96.4143426294821,91.551724137931,100,93.1578947368421,96,92.0863309352518,98.3333333333333
"89","2016_00-0026286",91.3793103448276,55.868544600939,0,0,0.182149362477231,87.2274143302181,36.4844903988183,21.7821782178218
"90","2016_00-0026289",48.2758620689655,37.1980676328502,18.4121621621622,11.5384615384615,22.3943661971831,32.1167883211679,20.0873362445415,42.5
"91","2016_00-0026290",100,95.5555555555556,92.8057553956834,83.5164835164835,88.7029288702929,100,90.5660377358491,95.5555555555556
"92","2016_00-0026293",53.8461538461538,4.74137931034483,1.25391849529781,0,1.33630289532294,25.2873563218391,3.25814536340852,17.7033492822967
"93","2016_00-0026298",100,100,69.2307692307692,0,48.744769874477,6.66666666666667,74.2268041237113,100
"94","2016_00-0026327",0,61.5384615384615,56.0283687943262,0,56.4935064935065,0,56.0283687943262,61.5384615384615
"95","2016_00-0026345",4.34782608695652,85.9872611464968,85.6164383561644,0,79.8117154811715,0,85.6164383561644,85.9872611464968
"96","2016_00-0026370",91.25,94.413407821229,98.0176211453744,93.3333333333333,96.7479674796748,92.5925925925926,97.7459016393443,93.1034482758621
"97","2016_00-0026373",48,55.0387596899225,47.3354231974922,17.5438596491228,46.5783664459161,55,45.7446808510638,55.6603773584906
"98","2016_00-0026393",44.8275862068966,44.0366972477064,9.48275862068965,0,4.37710437710438,100,22.2627737226277,16.8831168831169
"99","2016_00-0026408",74.2857142857143,71.7948717948718,77.6357827476038,0,75.6487025948104,100,77.8846153846154,71.6981132075472
"100","2016_00-0026498",100,100,100,100,100,100,100,100
"101","2016_00-0026500",94.6236559139785,98.3193277310924,94.4444444444444,100,95.006090133983,98.0582524271845,94.7994056463596,98.4313725490196
"102","2016_00-0026544",0,0,11.5384615384615,0,6.52173913043478,0,11.5384615384615,0
"103","2016_00-0026561",100,98.8439306358381,95.983379501385,44.4444444444444,96.5934065934066,100,95.5555555555556,98.7261146496815
"104","2016_00-0026625",76.4705882352941,80.2083333333333,85.6540084388186,100,83.6676217765043,0,85.6540084388186,80.4123711340206
"105","2016_00-0026739",0,0,77.6960784313726,66.6666666666667,63.0088495575221,4.89130434782609,54.7619047619048,0
"106","2016_00-0026762",94.2528735632184,90.1639344262295,95.863309352518,100,94.7683109118087,93.0817610062893,95.3525641025641,90.1162790697674
"107","2016_00-0026784",44,21.6783216783217,30.4733727810651,16.6666666666667,29.6213808463252,20.9677419354839,29.2225201072386,25
"108","2016_00-0026814",89.7959183673469,100,100,100,99.2163009404389,100,100,100
"109","2016_00-0026839",100,100,100,100,100,100,100,100
"110","2016_00-0026855",0,19.5652173913043,28.125,0,23.8888888888889,40,27.4809160305344,19.047619047619
"111","2016_00-0026898",33.3333333333333,30.5555555555556,35.8208955223881,0,28.9156626506024,50,39.7727272727273,9.09090909090909
"112","2016_00-0026901",52.8571428571429,76.7241379310345,81.0985460420032,100,79.127358490566,69.9481865284974,81.6269284712482,70
"113","2016_00-0026929",0,100,100,0,100,0,100,100
"114","2016_00-0026932",0,5.55555555555556,8.51063829787234,0,8.03571428571429,0,8.51063829787234,5.55555555555556
"115","2016_00-0026950",100,98.9208633093525,100,100,99.7058823529412,100,100,98.8505747126437
"116","2016_00-0026957",90.7894736842105,57.3604060913706,1.1889035667107,0,15.7127991675338,56.3380281690141,3.60248447204969,62.5698324022346
"117","2016_00-0026982",82.2222222222222,66.1971830985916,76.4227642276423,0,75.8620689655172,70.7692307692308,71.8954248366013,79.4520547945205
"118","2016_00-0026983",6.45161290322581,52.5423728813559,35.8267716535433,100,36.9397217928903,25.5813953488372,36.5671641791045,47.3214285714286
"119","2016_00-0026995",75.8928571428571,76.8924302788845,89.7172236503856,96.1538461538462,85.7859531772575,69.53125,86.5546218487395,78.5
"120","2016_00-0026997",91.6666666666667,97.6744186046512,99.0196078431373,100,98.8520408163265,94.6902654867257,98.4943538268507,93.3920704845815
"121","2016_00-0026998",22.2222222222222,43.6363636363636,48.6111111111111,100,48.2758620689655,41.304347826087,45.6896551724138,42.8571428571429
"122","2016_00-0026999",100,100,100,0,100,100,100,100
"123","2016_00-0027004",93.1034482758621,95.2380952380952,94.468085106383,100,95.3703703703704,92.9577464788732,94.1988950276243,96.3963963963964
"124","2016_00-0027006",21.0526315789474,82.3275862068966,90.9774436090226,94.7368421052632,85.1385390428212,80,90.8925318761384,82.7586206896552
"125","2016_00-0027025",100,100,100,100,100,100,100,100
"126","2016_00-0027027",97.7272727272727,98.3086680761099,98.2352941176471,100,98.469387755102,97.6401179941003,98.2434127979925,98.6784140969163
