season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2021,Andrew Sendejo,6118,S,IND,12,6,0,43.8,3,1,14,65.1,62.9,55.8,55.5,57.4,50.2,0,1,0,31,20,9,3,3,95.8,7,0,123,5,399,610,27,0,0,27,0,401,583,11,200,53,8,30,16,1,3,68,31,9.7
2021,Von Miller,6154,ED,LA,15,7,0,100,1,0,26,91.6,88.7,38.5,74.9,85.9,59,8,43,0,7,17.8,8,1,5,79.2,4,9,2,0,52,762,744,0,0,744,0,0,18,430,280,16,35,30,4,60,0,9,11,2.3
2021,Patrick Peterson,6157,CB,MIN,13,5,0,57.8,0,0,18,61,63,88.3,,66.8,54.3,0,0,1,77,13.7,7,3,3,89,37,0,62,806,548,884,2,0,0,2,0,0,882,0,336,14,15,39,64,0,3,455,250,12.3
2021,J.J. Watt,6163,DI,ARZ,7,5,2,,0,1,1,59.1,79,66.8,83.1,62,27.1,11,16,0,,28.6,6,0,1,0,0,1,3,0,4,341,338,9,117,78,134,0,3,217,120,0,11,10,0,28,0,0,0,
2021,Robert Quinn,6166,ED,CHI,16,3,0,33.3,2,4,6,74,69.9,30.4,79.7,52,59.9,4,25,0,-4,23.1,9,0,6,42.4,1,18,1,2,43,755,735,0,3,728,4,0,20,402,310,17,35,27,3,47,0,-4,0,-4
2021,Ryan Kerrigan,6168,ED,PHI,16,0,0,,0,0,24,70.6,61,87.3,58.5,56.5,73.4,1,15,0,,0,0,0,0,0,0,0,1,0,2,329,327,0,9,282,36,0,2,196,131,1,2,3,0,16,0,0,0,
2021,Cameron Jordan,6176,ED,NO,16,9,4,,0,2,20,86.9,84.3,74.4,69.7,87.1,76.1,11,27,0,,5.9,3,0,2,0,0,13,2,0,12,831,829,1,13,780,35,0,2,545,274,0,43,39,0,51,0,0,0,
2021,Jimmy Smith,6179,CB,BLT,10,1,0,52.4,0,0,3,67.1,65.9,84.5,56.2,54.1,50.2,0,0,0,11,22.7,5,2,1,61.6,11,0,24,211,188,293,5,0,0,5,0,36,288,2,103,17,8,16,21,0,0,80,38,7.3
2021,Cameron Heyward,6183,DI,PIT,17,22,8,,0,1,25,67.9,91,38.4,85.8,89.8,78.5,7,43,1,,3.7,3,0,6,0,0,11,12,0,0,955,943,62,474,117,290,0,12,574,381,0,46,56,0,61,0,0,0,
2021,Jabaal Sheard,6189,ED,MIA,1,1,0,,0,0,17,60,46,0,52.6,67.2,66.8,0,0,0,,0,0,0,1,0,0,0,1,1,1,13,11,0,4,5,2,0,2,8,4,0,0,0,0,0,0,0,0,
