"","yearly_id","WR1","WR2","WR3","WR4"
"1","2016_00-0019596",84.375,94.9404761904762,99.0825688073395,100
"2","2016_00-0020337",0,76.2057877813505,78.003696857671,75
"3","2016_00-0020531",100,100,100,100
"4","2016_00-0020679",78.2608695652174,32.5,32.5396825396825,0
"5","2016_00-0021206",81.4814814814815,75,83.9195979899498,0
"6","2016_00-0021429",80.8510638297872,97.2332015810277,98.8054607508532,94.4
"7","2016_00-0021547",57.3033707865169,18.957345971564,82.0560747663551,80
"8","2016_00-0021678",0,7.69230769230769,12.8205128205128,0
"9","2016_00-0022084",31.5789473684211,34.7517730496454,91.3324708926261,100
"10","2016_00-0022127",96.7213114754098,95.3389830508475,95.7413249211357,100
"11","2016_00-0022531",94.2028985507246,97.3684210526316,96.8646864686469,97.8260869565217
"12","2016_00-0022787",42.8571428571429,9.80392156862745,6.84931506849315,0
"13","2016_00-0022803",100,100,100,100
"14","2016_00-0022921",28.5714285714286,92.0863309352518,96.5964343598055,98.4962406015038
"15","2016_00-0022924",92.1875,98.8304093567251,99.8491704374057,100
"16","2016_00-0022942",96.7741935483871,99.5798319327731,99.8366013071895,100
"17","2016_00-0022999",62.5,51.1210762331839,8.34645669291339,37.037037037037
"18","2016_00-0023436",90.9774436090226,95.9731543624161,95.8847736625514,96.1538461538462
"19","2016_00-0023459",100,94.2857142857143,99.6932515337423,98.3935742971888
"20","2016_00-0023496",27.7777777777778,82.2222222222222,94.0092165898618,100
"21","2016_00-0023500",72.3076923076923,85.3582554517134,44.0894568690096,0
"22","2016_00-0023514",68.75,71.25,74.0157480314961,77.2727272727273
"23","2016_00-0023516",100,99.7711670480549,99.748743718593,100
"24","2016_00-0023564",17.4603174603175,49.800796812749,56.4685314685315,52.1739130434783
"25","2016_00-0023639",96.3414634146341,94.1798941798942,93.010752688172,100
"26","2016_00-0023645",13.3333333333333,27.3504273504274,23.9263803680982,0
"27","2016_00-0023662",24.0740740740741,41.5584415584416,47.6744186046512,0
"28","2016_00-0023682",100,89.2086330935252,83.4645669291339,85.8131487889273
"29","2016_00-0024217",21.7391304347826,11.7302052785924,9.00621118012422,0
"30","2016_00-0024221",100,99.3630573248408,49.7260273972603,0
"31","2016_00-0024226",100,100,90.9090909090909,0
"32","2016_00-0024242",73.5849056603774,50.9259259259259,42.7435387673956,0
"33","2016_00-0024243",92.3076923076923,86.3309352517986,22.972972972973,0
"34","2016_00-0024244",100,75.9036144578313,86.1904761904762,86.8131868131868
