"","yearly_id","cluster_xgboost"
"160","2017_00-0029319","Cluster 6"
"161","2017_00-0029336","Cluster Other"
"162","2017_00-0029388","Cluster 5"
"163","2017_00-0029572","Cluster Other"
"164","2017_00-0029580","Cluster 3"
"165","2017_00-0029608","Cluster 5"
"166","2017_00-0029632","Cluster 3"
"167","2017_00-0029638","Cluster 6"
"168","2017_00-0029664","Cluster 5"
"169","2017_00-0029708","Cluster 7"
"170","2017_00-0029848","Cluster 6"
"171","2017_00-0030035","Cluster 3"
"172","2017_00-0030068","Cluster 5"
"173","2017_00-0030085","Cluster 5"
"174","2017_00-0030091","Cluster 5"
"175","2017_00-0030147","Cluster 7"
"176","2017_00-0030279","Cluster 3"
"177","2017_00-0030290","Cluster Other"
"178","2017_00-0030300","Cluster 5"
"179","2017_00-0030431","Cluster 3"
"180","2017_00-0030460","Cluster Other"
"181","2017_00-0030516","Cluster 6"
"182","2017_00-0030521","Cluster 6"
"183","2017_00-0030525","Cluster Other"
"184","2017_00-0030542","Cluster 5"
"185","2017_00-0030564","Cluster 3"
"186","2017_00-0030663","Cluster 7"
"187","2017_00-0030669","Cluster 7"
"188","2017_00-0030670","Cluster 7"
"189","2017_00-0030737","Cluster Other"
"190","2017_00-0030801","Cluster 7"
"191","2017_00-0030821","Cluster 7"
"192","2017_00-0031021","Cluster Other"
"193","2017_00-0031025","Cluster Other"
"194","2017_00-0031051","Cluster 5"
"195","2017_00-0031060","Cluster Other"
"196","2017_00-0031068","Cluster 7"
"197","2017_00-0031189","Cluster 6"
"198","2017_00-0031228","Cluster 7"
"199","2017_00-0031235","Cluster 5"
"200","2017_00-0031236","Cluster 5"
"201","2017_00-0031257","Cluster 5"
"202","2017_00-0031299","Cluster 7"
"203","2017_00-0031315","Cluster Other"
"204","2017_00-0031325","Cluster 5"
"205","2017_00-0031326","Cluster 7"
"206","2017_00-0031339","Cluster 5"
"207","2017_00-0031344","Cluster 7"
"208","2017_00-0031359","Cluster 5"
"209","2017_00-0031373","Cluster 5"
"210","2017_00-0031381","Cluster 3"
"211","2017_00-0031382","Cluster 3"
"212","2017_00-0031408","Cluster 5"
"213","2017_00-0031431","Cluster 5"
"214","2017_00-0031511","Cluster Other"
"215","2017_00-0031545","Cluster Other"
"216","2017_00-0031547","Cluster 5"
"217","2017_00-0031549","Cluster 7"
"218","2017_00-0031560","Cluster Other"
"219","2017_00-0031570","Cluster 6"
"220","2017_00-0031588","Cluster 3"
"221","2017_00-0031697","Cluster 6"
"222","2017_00-0031782","Cluster 7"
"223","2017_00-0031801","Cluster Other"
"224","2017_00-0031868","Cluster Other"
"225","2017_00-0031941","Cluster 7"
"226","2017_00-0032009","Cluster 7"
"227","2017_00-0032054","Cluster Other"
"228","2017_00-0032112","Cluster 6"
"229","2017_00-0032115","Cluster Other"
"230","2017_00-0032123","Cluster 6"
"231","2017_00-0032128","Cluster 3"
"232","2017_00-0032160","Cluster 3"
"233","2017_00-0032166","Cluster 6"
"234","2017_00-0032208","Cluster 6"
"235","2017_00-0032211","Cluster 5"
"236","2017_00-0032250","Cluster 6"
"237","2017_00-0032355","Cluster 3"
"238","2017_00-0032362","Cluster 6"
"239","2017_00-0032385","Cluster 3"
"240","2017_00-0032398","Cluster 6"
"241","2017_00-0032423","Cluster Other"
"242","2017_00-0032475","Cluster 6"
"243","2017_00-0032543","Cluster Other"
"244","2017_00-0032626","Cluster 6"
"245","2017_00-0032659","Cluster 5"
"246","2017_00-0032688","Cluster 5"
"247","2017_00-0032760","Cluster 5"
"248","2017_00-0032765","Cluster 3"
"249","2017_00-0032775","Cluster 5"
"250","2017_00-0032791","Cluster Other"
"251","2017_00-0032839","Cluster 6"
"252","2017_00-0032881","Cluster Other"
"253","2017_00-0032951","Cluster 6"
"254","2017_00-0032966","Cluster 5"
"255","2017_00-0032977","Cluster 7"
"256","2017_00-0032980","Cluster 6"
"257","2017_00-0033006","Cluster Other"
"258","2017_00-0033009","Cluster 7"
"259","2017_00-0033040","Cluster 3"
"260","2017_00-0033060","Cluster 6"
"261","2017_00-0033069","Cluster 7"
"262","2017_00-0033079","Cluster 5"
"263","2017_00-0033094","Cluster Other"
"264","2017_00-0033111","Cluster 6"
"265","2017_00-0033114","Cluster Other"
"266","2017_00-0033127","Cluster 5"
"267","2017_00-0033266","Cluster Other"
"268","2017_00-0033282","Cluster 6"
"269","2017_00-0033292","Cluster 7"
"270","2017_00-0033307","Cluster 6"
"271","2017_00-0033434","Cluster Other"
"272","2017_00-0033464","Cluster Other"
"273","2017_00-0033466","Cluster Other"
"274","2017_00-0033536","Cluster 6"
"275","2017_00-0033573","Cluster 6"
"276","2017_00-0033591","Cluster Other"
"277","2017_00-0033633","Cluster 5"
"278","2017_00-0033681","Cluster 5"
"279","2017_00-0033717","Cluster 7"
"280","2017_00-0033839","Cluster 5"
"281","2017_00-0033840","Cluster 6"
"282","2017_00-0033855","Cluster Other"
"283","2017_00-0033857","Cluster 3"
"284","2017_00-0033859","Cluster Other"
"285","2017_00-0033871","Cluster 5"
"286","2017_00-0033891","Cluster 5"
"287","2017_00-0033908","Cluster 7"
"288","2017_00-0033911","Cluster 6"
"289","2017_00-0033916","Cluster 6"
"290","2017_00-0033921","Cluster 6"
"291","2017_00-0033932","Cluster 5"
"292","2017_00-0033933","Cluster 6"
"293","2017_00-0033937","Cluster 6"
"294","2017_00-0033943","Cluster 6"
"295","2018_00-0022921","Cluster 3"
"296","2018_00-0024334","Cluster 6"
"297","2018_00-0025396","Cluster 5"
"298","2018_00-0026035","Cluster 7"
"299","2018_00-0026189","Cluster 5"
"300","2018_00-0026345","Cluster 5"
"301","2018_00-0026983","Cluster 6"
"302","2018_00-0026986","Cluster 5"
"303","2018_00-0027150","Cluster 3"
"304","2018_00-0027685","Cluster 3"
"305","2018_00-0027691","Cluster Other"
"306","2018_00-0027793","Cluster 3"
"307","2018_00-0027874","Cluster 3"
"308","2018_00-0027891","Cluster 7"
"309","2018_00-0027942","Cluster 3"
"310","2018_00-0027944","Cluster 3"
"311","2018_00-0027996","Cluster 6"
"312","2018_00-0028002","Cluster 7"
"313","2018_00-0028091","Cluster 7"
"314","2018_00-0028116","Cluster 6"
"315","2018_00-0028237","Cluster 3"
"316","2018_00-0028263","Cluster 6"
"317","2018_00-0028434","Cluster 3"
"318","2018_00-0028497","Cluster Other"
"319","2018_00-0028825","Cluster 5"
"320","2018_00-0029000","Cluster 7"
"321","2018_00-0029137","Cluster 3"
"322","2018_00-0029159","Cluster 7"
"323","2018_00-0029269","Cluster 6"
"324","2018_00-0029293","Cluster 5"
"325","2018_00-0029319","Cluster 6"
"326","2018_00-0029388","Cluster 6"
"327","2018_00-0029572","Cluster 7"
"328","2018_00-0029580","Cluster 7"
"329","2018_00-0029608","Cluster 3"
"330","2018_00-0029632","Cluster 7"
"331","2018_00-0029638","Cluster Other"
"332","2018_00-0029640","Cluster 6"
"333","2018_00-0029664","Cluster 3"
"334","2018_00-0029848","Cluster Other"
"335","2018_00-0030035","Cluster 3"
"336","2018_00-0030068","Cluster 5"
"337","2018_00-0030085","Cluster 3"
"338","2018_00-0030147","Cluster 6"
"339","2018_00-0030279","Cluster 3"
"340","2018_00-0030300","Cluster 6"
"341","2018_00-0030431","Cluster 3"
"342","2018_00-0030516","Cluster 6"
"343","2018_00-0030521","Cluster Other"
"344","2018_00-0030525","Cluster 6"
"345","2018_00-0030564","Cluster 3"
"346","2018_00-0030663","Cluster 7"
"347","2018_00-0030669","Cluster Other"
"348","2018_00-0030670","Cluster 7"
"349","2018_00-0030821","Cluster 6"
"350","2018_00-0031023","Cluster 3"
"351","2018_00-0031051","Cluster 5"
"352","2018_00-0031060","Cluster Other"
"353","2018_00-0031068","Cluster 5"
"354","2018_00-0031189","Cluster 7"
"355","2018_00-0031228","Cluster 3"
"356","2018_00-0031235","Cluster 3"
"357","2018_00-0031236","Cluster 3"
"358","2018_00-0031257","Cluster 5"
"359","2018_00-0031299","Cluster Other"
"360","2018_00-0031325","Cluster 3"
"361","2018_00-0031326","Cluster 7"
"362","2018_00-0031339","Cluster 5"
"363","2018_00-0031344","Cluster 6"
"364","2018_00-0031359","Cluster 5"
"365","2018_00-0031381","Cluster 3"
"366","2018_00-0031382","Cluster 3"
"367","2018_00-0031408","Cluster 3"
"368","2018_00-0031428","Cluster 3"
"369","2018_00-0031544","Cluster 3"
"370","2018_00-0031545","Cluster 6"
"371","2018_00-0031547","Cluster 5"
"372","2018_00-0031549","Cluster 3"
"373","2018_00-0031570","Cluster Other"
"374","2018_00-0031588","Cluster 3"
"375","2018_00-0031763","Cluster Other"
"376","2018_00-0031782","Cluster Other"
"377","2018_00-0031941","Cluster 7"
"378","2018_00-0031972","Cluster Other"
"379","2018_00-0032009","Cluster 7"
