"","yearly_id","cluster"
"685","2017_00-0033934","Cluster 10"
"686","2017_00-0028037","Cluster 4"
"687","2017_00-0029255","Cluster 4"
"688","2017_00-0030033","Cluster 1"
"689","2017_00-0031950","Cluster 5"
"690","2017_00-0025405","Cluster 5"
"691","2017_00-0030548","Cluster 4"
"692","2017_00-0031298","Cluster 9"
"693","2017_00-0031061","Cluster 6"
"694","2017_00-0031267","Cluster 3"
"695","2017_00-0031253","Cluster 2"
"696","2017_00-0032057","Cluster 9"
"697","2017_00-0032479","Cluster 3"
"698","2017_00-0033783","Cluster 6"
"699","2017_00-0033302","Cluster 9"
"700","2017_00-0033430","Cluster 3"
"701","2017_00-0027684","Cluster 10"
"702","2017_00-0030457","Cluster 12"
"703","2017_00-0031175","Cluster 7"
"704","2017_00-0030993","Cluster 7"
"705","2017_00-0032164","Cluster 7"
"706","2017_00-0032378","Cluster 12"
"707","2017_00-0033010","Cluster 8"
"708","2017_00-0032413","Cluster 7"
"709","2017_00-0033870","Cluster 11"
"710","2017_00-0033297","Cluster 10"
"711","2017_00-0027812","Cluster 7"
"712","2017_00-0030770","Cluster 4"
"713","2017_00-0032060","Cluster 1"
"714","2017_00-0031961","Cluster 5"
"715","2017_00-0033887","Cluster 4"
"716","2017_00-0033973","Cluster 5"
"717","2017_00-0024183","Cluster 6"
"718","2017_00-0028031","Cluster 4"
"719","2017_00-0029422","Cluster 1"
"720","2017_00-0032758","Cluster 6"
"721","2017_00-0032772","Cluster 6"
"722","2017_00-0033070","Cluster 5"
"723","2017_00-0033898","Cluster 2"
"724","2017_00-0026964","Cluster 8"
"725","2017_00-0027856","Cluster 12"
"726","2017_00-0028256","Cluster 10"
"727","2017_00-0030386","Cluster 11"
"728","2017_00-0031304","Cluster 11"
"729","2017_00-0031948","Cluster 7"
"730","2017_00-0032952","Cluster 7"
"731","2017_00-0033595","Cluster 7"
"732","2017_00-0029562","Cluster 4"
"733","2017_00-0031120","Cluster 5"
"734","2017_00-0032109","Cluster 4"
"735","2017_00-0032789","Cluster 1"
"736","2017_00-0033938","Cluster 4"
"737","2017_00-0033424","Cluster 3"
"738","2017_00-0033700","Cluster 5"
"739","2017_00-0028038","Cluster 2"
"740","2017_00-0030538","Cluster 9"
"741","2017_00-0030411","Cluster 6"
"742","2017_00-0031597","Cluster 2"
"743","2017_00-0032042","Cluster 5"
"744","2017_00-0033132","Cluster 9"
"745","2017_00-0032783","Cluster 2"
"746","2017_00-0032810","Cluster 3"
"747","2017_00-0033878","Cluster 6"
"748","2017_00-0028015","Cluster 12"
"749","2017_00-0030577","Cluster 10"
"750","2017_00-0030121","Cluster 8"
"751","2017_00-0031054","Cluster 12"
"752","2017_00-0032763","Cluster 8"
"753","2017_00-0026307","Cluster 11"
"754","2017_00-0025828","Cluster 4"
"755","2017_00-0026989","Cluster 11"
"756","2017_00-0027868","Cluster 11"
"757","2017_00-0030104","Cluster 7"
"758","2017_00-0031263","Cluster 4"
"759","2017_00-0032799","Cluster 7"
"760","2017_00-0033954","Cluster 2"
"761","2017_00-0029285","Cluster 6"
"762","2017_00-0030566","Cluster 9"
"763","2017_00-0031052","Cluster 6"
"764","2017_00-0031844","Cluster 9"
"765","2017_00-0032007","Cluster 2"
"766","2017_00-0033084","Cluster 2"
"767","2017_00-0033918","Cluster 5"
"768","2017_00-0033527","Cluster 2"
"769","2017_00-0033533","Cluster 3"
"770","2017_00-0027008","Cluster 10"
"771","2017_00-0028003","Cluster 8"
"772","2017_00-0030515","Cluster 12"
"773","2017_00-0029972","Cluster 10"
"774","2017_00-0032781","Cluster 12"
"775","2017_00-0032369","Cluster 8"
"776","2017_00-0033523","Cluster 8"
"777","2017_00-0027954","Cluster 11"
"778","2017_00-0028022","Cluster 4"
"779","2017_00-0029566","Cluster 4"
"780","2017_00-0029869","Cluster 5"
"781","2017_00-0031935","Cluster 11"
"782","2017_00-0031945","Cluster 1"
"783","2017_00-0031728","Cluster 4"
"784","2017_00-0032851","Cluster 7"
"785","2017_00-0033525","Cluster 7"
"786","2017_00-0033532","Cluster 5"
"787","2018_00-0024421","Cluster 9"
"788","2018_00-0027943","Cluster 6"
"789","2018_00-0029087","Cluster 5"
"790","2018_00-0030420","Cluster 6"
"791","2018_00-0030566","Cluster 9"
"792","2018_00-0031261","Cluster 9"
"793","2018_00-0031061","Cluster 5"
"794","2018_00-0032769","Cluster 1"
"795","2018_00-0033890","Cluster 9"
"796","2018_00-0033792","Cluster 5"
"797","2018_00-0027686","Cluster 10"
"798","2018_00-0029585","Cluster 11"
"799","2018_00-0030380","Cluster 11"
"800","2018_00-0031081","Cluster 7"
"801","2018_00-0032127","Cluster 11"
"802","2018_00-0032131","Cluster 10"
"803","2018_00-0031914","Cluster 8"
"804","2018_00-0032761","Cluster 12"
"805","2018_00-0032396","Cluster 10"
"806","2018_00-0032484","Cluster 7"
"807","2018_00-0033403","Cluster 7"
"808","2018_00-0028278","Cluster 4"
"809","2018_00-0030385","Cluster 1"
"810","2018_00-0031366","Cluster 1"
"811","2018_00-0033875","Cluster 4"
"812","2018_00-0034490","Cluster 3"
"813","2018_00-0029422","Cluster 3"
"814","2018_00-0030562","Cluster 6"
"815","2018_00-0030528","Cluster 6"
"816","2018_00-0030541","Cluster 3"
"817","2018_00-0030427","Cluster 3"
"818","2018_00-0031181","Cluster 9"
"819","2018_00-0031559","Cluster 1"
"820","2018_00-0032382","Cluster 1"
"821","2018_00-0032592","Cluster 2"
"822","2018_00-0032596","Cluster 2"
"823","2018_00-0033512","Cluster 9"
"824","2018_00-0034357","Cluster 2"
"825","2018_00-0027980","Cluster 7"
"826","2018_00-0028003","Cluster 8"
"827","2018_00-0029193","Cluster 11"
"828","2018_00-0029627","Cluster 12"
"829","2018_00-0029111","Cluster 7"
"830","2018_00-0030387","Cluster 7"
"831","2018_00-0032240","Cluster 11"
"832","2018_00-0031583","Cluster 12"
"833","2018_00-0032154","Cluster 8"
"834","2018_00-0032518","Cluster 8"
"835","2018_00-0033540","Cluster 11"
"836","2018_00-0034363","Cluster 10"
"837","2018_00-0027978","Cluster 5"
"838","2018_00-0032388","Cluster 4"
"839","2018_00-0032401","Cluster 4"
"840","2018_00-0033549","Cluster 1"
"841","2018_00-0034413","Cluster 1"
"842","2018_00-0025424","Cluster 9"
"843","2018_00-0026280","Cluster 6"
"844","2018_00-0027539","Cluster 5"
"845","2018_00-0027965","Cluster 6"
"846","2018_00-0030294","Cluster 9"
"847","2018_00-0032390","Cluster 3"
"848","2018_00-0032770","Cluster 2"
"849","2018_00-0032438","Cluster 3"
"850","2018_00-0033281","Cluster 6"
"851","2018_00-0033294","Cluster 5"
"852","2018_00-0034265","Cluster 3"
"853","2018_00-0030511","Cluster 10"
"854","2018_00-0031177","Cluster 12"
"855","2018_00-0032409","Cluster 8"
"856","2018_00-0032574","Cluster 10"
"857","2018_00-0033913","Cluster 8"
"858","2018_00-0033376","Cluster 8"
"859","2018_00-0034285","Cluster 8"
"860","2018_00-0022161","Cluster 11"
"861","2018_00-0031296","Cluster 4"
"862","2018_00-0031576","Cluster 11"
"863","2018_00-0032415","Cluster 11"
"864","2018_00-0032573","Cluster 1"
"865","2018_00-0033283","Cluster 7"
"866","2018_00-0033915","Cluster 7"
"867","2018_00-0034266","Cluster 1"
"868","2018_00-0034787","Cluster 3"
"869","2018_00-0027001","Cluster 3"
"870","2018_00-0027195","Cluster 2"
"871","2018_00-0030090","Cluster 9"
"872","2018_00-0030114","Cluster 9"
"873","2018_00-0031688","Cluster 3"
"874","2018_00-0031870","Cluster 9"
"875","2018_00-0032617","Cluster 3"
"876","2018_00-0033884","Cluster 6"
"877","2018_00-0033608","Cluster 3"
"878","2018_00-0034376","Cluster 2"
"879","2018_00-0034391","Cluster 3"
"880","2018_00-0034514","Cluster 6"
"881","2018_00-0024348","Cluster 12"
"882","2018_00-0027881","Cluster 11"
"883","2018_00-0030455","Cluster 10"
"884","2018_00-0031300","Cluster 7"
"885","2018_00-0031006","Cluster 8"
"886","2018_00-0031557","Cluster 8"
"887","2018_00-0033096","Cluster 7"
"888","2018_00-0032480","Cluster 7"
"889","2018_00-0034782","Cluster 8"
"890","2018_00-0034511","Cluster 7"
"891","2018_00-0023259","Cluster 1"
"892","2018_00-0029061","Cluster 3"
"893","2018_00-0030197","Cluster 3"
"894","2018_00-0033571","Cluster 4"
"895","2018_00-0034673","Cluster 4"
"896","2018_00-0034539","Cluster 1"
"897","2018_00-0022247","Cluster 9"
"898","2018_00-0026944","Cluster 2"
"899","2018_00-0028038","Cluster 1"
"900","2018_00-0028128","Cluster 5"
"901","2018_00-0030548","Cluster 9"
"902","2018_00-0032890","Cluster 6"
"903","2018_00-0033289","Cluster 3"
"904","2018_00-0034356","Cluster 6"
"905","2018_00-0034362","Cluster 5"
"906","2018_00-0021140","Cluster 11"
"907","2018_00-0027236","Cluster 8"
"908","2018_00-0028339","Cluster 11"
"909","2018_00-0029688","Cluster 10"
"910","2018_00-0030448","Cluster 12"
"911","2018_00-0030251","Cluster 7"
"912","2018_00-0031500","Cluster 7"
"913","2018_00-0032967","Cluster 8"
"914","2018_00-0033408","Cluster 7"
"915","2018_00-0034382","Cluster 7"
"916","2018_00-0023448","Cluster 4"
"917","2018_00-0028698","Cluster 3"
"918","2018_00-0029248","Cluster 4"
"919","2018_00-0031550","Cluster 1"
"920","2018_00-0031596","Cluster 1"
"921","2018_00-0034396","Cluster 5"
"922","2018_00-0034430","Cluster 5"
"923","2018_00-0027743","Cluster 5"
"924","2018_00-0027957","Cluster 6"
"925","2018_00-0031041","Cluster 6"
"926","2018_00-0031151","Cluster 3"
"927","2018_00-0031584","Cluster 9"
"928","2018_00-0031904","Cluster 2"
"929","2018_00-0032774","Cluster 5"
"930","2018_00-0032790","Cluster 3"
"931","2018_00-0033784","Cluster 9"
"932","2018_00-0034603","Cluster 3"
"933","2018_00-0029657","Cluster 12"
"934","2018_00-0030500","Cluster 8"
"935","2018_00-0031551","Cluster 10"
"936","2018_00-0033093","Cluster 8"
"937","2018_00-0032667","Cluster 8"
"938","2018_00-0034387","Cluster 8"
"939","2018_00-0028041","Cluster 7"
"940","2018_00-0029577","Cluster 4"
"941","2018_00-0031040","Cluster 11"
"942","2018_00-0030993","Cluster 7"
"943","2018_00-0033072","Cluster 11"
"944","2018_00-0032773","Cluster 3"
"945","2018_00-0033635","Cluster 7"
"946","2018_00-0034874","Cluster 4"
"947","2018_00-0034372","Cluster 5"
"948","2018_00-0034404","Cluster 7"
"949","2018_00-0029560","Cluster 6"
"950","2018_00-0030471","Cluster 9"
"951","2018_00-0031380","Cluster 2"
"952","2018_00-0033107","Cluster 6"
"953","2018_00-0033091","Cluster 2"
"954","2018_00-0032807","Cluster 5"
"955","2018_00-0032934","Cluster 3"
"956","2018_00-0033791","Cluster 5"
"957","2018_00-0034675","Cluster 9"
"958","2018_00-0034683","Cluster 2"
"959","2018_00-0027044","Cluster 7"
"960","2018_00-0027662","Cluster 11"
"961","2018_00-0027720","Cluster 12"
"962","2018_00-0031615","Cluster 8"
"963","2018_00-0033037","Cluster 8"
"964","2018_00-0033066","Cluster 10"
"965","2018_00-0033912","Cluster 7"
"966","2018_00-0033463","Cluster 11"
"967","2018_00-0033786","Cluster 8"
"968","2018_00-0033347","Cluster 10"
"969","2018_00-0034834","Cluster 11"
"970","2018_00-0027245","Cluster 1"
"971","2018_00-0028912","Cluster 1"
"972","2018_00-0031171","Cluster 4"
"973","2018_00-0031255","Cluster 3"
"974","2018_00-0032892","Cluster 4"
"975","2018_00-0033790","Cluster 1"
"976","2018_00-0033344","Cluster 1"
"977","2018_00-0034835","Cluster 5"
"978","2018_00-0031015","Cluster 2"
"979","2018_00-0031394","Cluster 2"
"980","2018_00-0031269","Cluster 6"
"981","2018_00-0031097","Cluster 6"
"982","2018_00-0032251","Cluster 9"
"983","2018_00-0031512","Cluster 2"
"984","2018_00-0033076","Cluster 2"
"985","2018_00-0032517","Cluster 2"
"986","2018_00-0033883","Cluster 9"
"987","2018_00-0033362","Cluster 2"
"988","2018_00-0034856","Cluster 6"
"989","2018_00-0034488","Cluster 3"
"990","2018_00-0031264","Cluster 7"
"991","2018_00-0031938","Cluster 8"
"992","2018_00-0033073","Cluster 12"
"993","2018_00-0032435","Cluster 7"
"994","2018_00-0032566","Cluster 12"
"995","2018_00-0032649","Cluster 8"
"996","2018_00-0033868","Cluster 11"
"997","2018_00-0033905","Cluster 12"
"998","2018_00-0033501","Cluster 8"
"999","2018_00-0034770","Cluster 8"
"1000","2018_00-0030421","Cluster 4"
"1001","2018_00-0030050","Cluster 1"
"1002","2018_00-0031361","Cluster 4"
"1003","2018_00-0033125","Cluster 4"
"1004","2018_00-0033580","Cluster 1"
"1005","2018_00-0034682","Cluster 11"
"1006","2018_00-0030196","Cluster 9"
"1007","2018_00-0031357","Cluster 3"
"1008","2018_00-0032239","Cluster 6"
"1009","2018_00-0033047","Cluster 2"
"1010","2018_00-0033048","Cluster 5"
"1011","2018_00-0033548","Cluster 6"
"1012","2018_00-0033928","Cluster 5"
"1013","2018_00-0033579","Cluster 9"
"1014","2018_00-0029641","Cluster 12"
"1015","2018_00-0030576","Cluster 8"
"1016","2018_00-0033535","Cluster 8"
"1017","2018_00-0031411","Cluster 11"
"1018","2018_00-0031071","Cluster 8"
"1019","2018_00-0032197","Cluster 11"
"1020","2018_00-0031997","Cluster 12"
"1021","2018_00-0033131","Cluster 12"
"1022","2018_00-0032871","Cluster 10"
"1023","2018_00-0033541","Cluster 7"
"1024","2018_00-0034373","Cluster 7"
"1025","2018_00-0027663","Cluster 1"
"1026","2018_00-0030761","Cluster 5"
"1027","2018_00-0032215","Cluster 1"
"1028","2018_00-0031999","Cluster 5"
"1029","2018_00-0033052","Cluster 4"
"1030","2018_00-0034674","Cluster 4"
"1031","2018_00-0023441","Cluster 3"
"1032","2018_00-0027256","Cluster 9"
"1033","2018_00-0027375","Cluster 2"
"1034","2018_00-0028224","Cluster 6"
"1035","2018_00-0030484","Cluster 2"
"1036","2018_00-0030412","Cluster 3"
"1037","2018_00-0031372","Cluster 6"
"1038","2018_00-0032767","Cluster 5"
"1039","2018_00-0032971","Cluster 9"
"1040","2018_00-0032958","Cluster 2"
"1041","2018_00-0033675","Cluster 5"
"1042","2018_00-0034780","Cluster 3"
"1043","2018_00-0024338","Cluster 10"
"1044","2018_00-0029586","Cluster 12"
"1045","2018_00-0031270","Cluster 10"
"1046","2018_00-0031105","Cluster 8"
"1047","2018_00-0032221","Cluster 7"
"1048","2018_00-0033064","Cluster 12"
"1049","2018_00-0033782","Cluster 8"
"1050","2018_00-0027940","Cluster 11"
"1051","2018_00-0029620","Cluster 2"
"1052","2018_00-0031101","Cluster 7"
"1053","2018_00-0031427","Cluster 4"
"1054","2018_00-0032799","Cluster 7"
"1055","2018_00-0033659","Cluster 3"
"1056","2018_00-0034832","Cluster 11"
"1057","2018_00-0034368","Cluster 1"
"1058","2018_00-0034422","Cluster 3"
"1059","2018_00-0034107","Cluster 7"
"1060","2018_00-0027081","Cluster 9"
"1061","2018_00-0029410","Cluster 5"
"1062","2018_00-0029191","Cluster 2"
"1063","2018_00-0030062","Cluster 6"
"1064","2018_00-0030127","Cluster 3"
"1065","2018_00-0031176","Cluster 6"
"1066","2018_00-0031608","Cluster 9"
"1067","2018_00-0033545","Cluster 2"
"1068","2018_00-0034745","Cluster 5"
"1069","2018_00-0034639","Cluster 2"
"1070","2018_00-0026502","Cluster 8"
"1071","2018_00-0029040","Cluster 10"
"1072","2018_00-0030059","Cluster 7"
"1073","2018_00-0030946","Cluster 10"
"1074","2018_00-0032889","Cluster 12"
"1075","2018_00-0032730","Cluster 7"
"1076","2018_00-0032883","Cluster 7"
"1077","2018_00-0034371","Cluster 12"
"1078","2018_00-0034586","Cluster 8"
"1079","2018_00-0028006","Cluster 1"
"1080","2018_00-0031241","Cluster 11"
"1081","2018_00-0031130","Cluster 4"
"1082","2018_00-0032060","Cluster 7"
"1083","2018_00-0032655","Cluster 11"
"1084","2018_00-0032674","Cluster 3"
"1085","2018_00-0033539","Cluster 4"
"1086","2018_00-0033557","Cluster 1"
"1087","2018_00-0024061","Cluster 9"
"1088","2018_00-0028069","Cluster 3"
"1089","2018_00-0029520","Cluster 5"
"1090","2018_00-0031052","Cluster 2"
"1091","2018_00-0032198","Cluster 5"
"1092","2018_00-0033124","Cluster 5"
"1093","2018_00-0032628","Cluster 9"
"1094","2018_00-0033524","Cluster 6"
"1095","2018_00-0033903","Cluster 2"
"1096","2018_00-0034728","Cluster 6"
"1097","2018_00-0034751","Cluster 2"
"1098","2018_00-0034398","Cluster 3"
"1099","2018_00-0034179","Cluster 5"
"1100","2018_00-0034540","Cluster 2"
"1101","2018_00-0027968","Cluster 12"
"1102","2018_00-0029284","Cluster 12"
"1103","2018_00-0033120","Cluster 10"
"1104","2018_00-0032412","Cluster 12"
"1105","2018_00-0033929","Cluster 8"
"1106","2018_00-0033438","Cluster 7"
"1107","2018_00-0034284","Cluster 8"
"1108","2018_00-0034185","Cluster 10"
"1109","2018_00-0027002","Cluster 11"
"1110","2018_00-0029408","Cluster 11"
"1111","2018_00-0029289","Cluster 3"
"1112","2018_00-0032955","Cluster 11"
"1113","2018_00-0032406","Cluster 1"
"1114","2018_00-0032408","Cluster 4"
"1115","2018_00-0032633","Cluster 7"
"1116","2018_00-0034754","Cluster 5"
"1117","2018_00-0034881","Cluster 8"
"1118","2018_00-0024239","Cluster 6"
"1119","2018_00-0027872","Cluster 6"
"1120","2018_00-0028027","Cluster 2"
"1121","2018_00-0029065","Cluster 3"
"1122","2018_00-0030459","Cluster 9"
"1123","2018_00-0030523","Cluster 3"
"1124","2018_00-0031259","Cluster 2"
"1125","2018_00-0031087","Cluster 2"
"1126","2018_00-0031548","Cluster 6"
"1127","2018_00-0033861","Cluster 2"
"1128","2018_00-0033222","Cluster 3"
"1129","2018_00-0034361","Cluster 9"
"1130","2018_00-0027949","Cluster 11"
"1131","2018_00-0031364","Cluster 11"
"1132","2018_00-0031127","Cluster 10"
"1133","2018_00-0032107","Cluster 8"
"1134","2018_00-0031619","Cluster 8"
"1135","2018_00-0032424","Cluster 10"
"1136","2018_00-0032727","Cluster 8"
"1137","2018_00-0032905","Cluster 7"
"1138","2018_00-0033563","Cluster 8"
"1139","2018_00-0029643","Cluster 11"
"1140","2018_00-0031491","Cluster 1"
"1141","2018_00-0031553","Cluster 4"
"1142","2018_00-0031847","Cluster 1"
"1143","2018_00-0032734","Cluster 5"
"1144","2018_00-0033547","Cluster 4"
"1145","2018_00-0033765","Cluster 5"
"1146","2018_00-0034402","Cluster 5"
"1147","2018_00-0034421","Cluster 5"
"1148","2018_00-0027023","Cluster 2"
"1149","2018_00-0030543","Cluster 5"
"1150","2018_00-0031331","Cluster 6"
"1151","2018_00-0031571","Cluster 9"
"1152","2018_00-0032050","Cluster 3"
"1153","2018_00-0032353","Cluster 5"
"1154","2018_00-0032496","Cluster 2"
"1155","2018_00-0033877","Cluster 9"
"1156","2018_00-0033544","Cluster 2"
"1157","2018_00-0033568","Cluster 2"
"1158","2018_00-0033393","Cluster 6"
"1159","2018_00-0034091","Cluster 5"
"1160","2018_00-0027723","Cluster 10"
"1161","2018_00-0027975","Cluster 11"
"1162","2018_00-0030449","Cluster 12"
"1163","2018_00-0031254","Cluster 12"
"1164","2018_00-0031940","Cluster 7"
"1165","2018_00-0033046","Cluster 8"
"1166","2018_00-0032402","Cluster 8"
"1167","2018_00-0033952","Cluster 10"
"1168","2018_00-0033964","Cluster 7"
"1169","2018_00-0033693","Cluster 7"
"1170","2018_00-0034354","Cluster 7"
"1171","2018_00-0034359","Cluster 11"
"1172","2018_00-0029418","Cluster 1"
"1173","2018_00-0033570","Cluster 4"
"1174","2018_00-0033447","Cluster 3"
"1175","2018_00-0034846","Cluster 4"
"1176","2018_00-0034424","Cluster 1"
"1177","2018_00-0034431","Cluster 1"
"1178","2018_00-0034090","Cluster 5"
"1179","2018_00-0027416","Cluster 9"
"1180","2018_00-0028924","Cluster 9"
"1181","2018_00-0030572","Cluster 2"
"1182","2018_00-0029764","Cluster 3"
"1183","2018_00-0030228","Cluster 6"
"1184","2018_00-0031276","Cluster 2"
"1185","2018_00-0033055","Cluster 6"
"1186","2018_00-0032525","Cluster 5"
"1187","2018_00-0034779","Cluster 5"
"1188","2018_00-0034516","Cluster 3"
"1189","2018_00-0034523","Cluster 5"
"1190","2018_00-0026190","Cluster 11"
"1191","2018_00-0027941","Cluster 10"
"1192","2018_00-0029568","Cluster 12"
"1193","2018_00-0029799","Cluster 7"
"1194","2018_00-0029946","Cluster 10"
"1195","2018_00-0033123","Cluster 11"
"1196","2018_00-0033907","Cluster 7"
"1197","2018_00-0033598","Cluster 10"
"1198","2018_00-0034842","Cluster 7"
"1199","2018_00-0031309","Cluster 4"
"1200","2018_00-0032968","Cluster 4"
"1201","2018_00-0033841","Cluster 5"
"1202","2018_00-0034428","Cluster 1"
"1203","2018_00-0034655","Cluster 1"
"1204","2018_00-0026283","Cluster 2"
"1205","2018_00-0027858","Cluster 9"
"1206","2018_00-0028445","Cluster 9"
"1207","2018_00-0030665","Cluster 2"
"1208","2018_00-0032150","Cluster 6"
"1209","2018_00-0033084","Cluster 6"
"1210","2018_00-0033038","Cluster 9"
"1211","2018_00-0032797","Cluster 2"
"1212","2018_00-0034680","Cluster 5"
"1213","2018_00-0034278","Cluster 5"
"1214","2018_00-0034573","Cluster 2"
"1215","2018_00-0027979","Cluster 8"
"1216","2018_00-0028024","Cluster 12"
"1217","2018_00-0031297","Cluster 11"
"1218","2018_00-0031556","Cluster 7"
"1219","2018_00-0031636","Cluster 8"
"1220","2018_00-0031713","Cluster 10"
"1221","2018_00-0032762","Cluster 12"
"1222","2018_00-0033902","Cluster 7"
"1223","2018_00-0034818","Cluster 10"
"1224","2018_00-0027442","Cluster 7"
"1225","2018_00-0028008","Cluster 11"
"1226","2018_00-0031348","Cluster 4"
"1227","2018_00-0033058","Cluster 1"
"1228","2018_00-0032820","Cluster 1"
"1229","2018_00-0034774","Cluster 7"
"1230","2018_00-0034781","Cluster 5"
"1231","2018_00-0034296","Cluster 3"
"1232","2018_00-0026160","Cluster 6"
"1233","2018_00-0027440","Cluster 2"
"1234","2018_00-0030041","Cluster 2"
"1235","2018_00-0031389","Cluster 9"
"1236","2018_00-0032165","Cluster 6"
"1237","2018_00-0031657","Cluster 5"
"1238","2018_00-0031785","Cluster 2"
"1239","2018_00-0032786","Cluster 5"
"1240","2018_00-0032793","Cluster 3"
"1241","2018_00-0032641","Cluster 2"
"1242","2018_00-0033927","Cluster 9"
"1243","2018_00-0033845","Cluster 3"
"1244","2018_00-0034203","Cluster 3"
"1245","2018_00-0027855","Cluster 12"
"1246","2018_00-0029630","Cluster 12"
"1247","2018_00-0031388","Cluster 12"
"1248","2018_00-0030986","Cluster 8"
"1249","2018_00-0033963","Cluster 10"
"1250","2018_00-0034805","Cluster 7"
"1251","2018_00-0034813","Cluster 5"
"1252","2018_00-0029670","Cluster 4"
"1253","2018_00-0031425","Cluster 7"
"1254","2018_00-0032052","Cluster 11"
"1255","2018_00-0031943","Cluster 1"
"1256","2018_00-0032248","Cluster 5"
"1257","2018_00-0031814","Cluster 7"
"1258","2018_00-0032677","Cluster 4"
"1259","2018_00-0033945","Cluster 11"
"1260","2018_00-0034811","Cluster 7"
"1261","2018_00-0029261","Cluster 6"
"1262","2018_00-0030312","Cluster 9"
"1263","2018_00-0031404","Cluster 2"
"1264","2018_00-0032916","Cluster 6"
"1265","2018_00-0033941","Cluster 5"
"1266","2018_00-0033566","Cluster 2"
"1267","2018_00-0033697","Cluster 6"
"1268","2018_00-0034790","Cluster 9"
"1269","2018_00-0034545","Cluster 3"
"1270","2018_00-0025472","Cluster 10"
"1271","2018_00-0027956","Cluster 12"
"1272","2018_00-0029249","Cluster 11"
"1273","2018_00-0030148","Cluster 10"
"1274","2018_00-0032116","Cluster 12"
"1275","2018_00-0032162","Cluster 8"
"1276","2018_00-0033156","Cluster 11"
"1277","2018_00-0033588","Cluster 11"
"1278","2018_00-0034677","Cluster 8"
"1279","2018_00-0032103","Cluster 4"
"1280","2018_00-0032110","Cluster 1"
"1281","2018_00-0032171","Cluster 1"
"1282","2018_00-0032081","Cluster 5"
"1283","2018_00-0032895","Cluster 4"
"1284","2018_00-0033606","Cluster 3"
"1285","2018_00-0034350","Cluster 7"
"1286","2018_00-0034375","Cluster 1"
"1287","2018_00-0025405","Cluster 2"
"1288","2018_00-0025408","Cluster 2"
"1289","2018_00-0026156","Cluster 2"
"1290","2018_00-0027988","Cluster 9"
"1291","2018_00-0032320","Cluster 2"
"1292","2018_00-0029901","Cluster 2"
"1293","2018_00-0031262","Cluster 2"
"1294","2018_00-0032888","Cluster 4"
"1295","2018_00-0032891","Cluster 6"
"1296","2018_00-0033882","Cluster 6"
"1297","2018_00-0034767","Cluster 2"
"1298","2018_00-0034726","Cluster 3"
"1299","2018_00-0024306","Cluster 11"
"1300","2018_00-0026964","Cluster 8"
"1301","2018_00-0029112","Cluster 7"
"1302","2018_00-0030457","Cluster 7"
"1303","2018_00-0030063","Cluster 10"
"1304","2018_00-0030069","Cluster 7"
"1305","2018_00-0031336","Cluster 7"
"1306","2018_00-0031346","Cluster 10"
"1307","2018_00-0031574","Cluster 8"
"1308","2018_00-0034262","Cluster 12"
"1309","2018_00-0034825","Cluster 11"
"1310","2018_00-0034746","Cluster 8"
"1311","2018_00-0023449","Cluster 1"
"1312","2018_00-0029647","Cluster 7"
"1313","2018_00-0029212","Cluster 4"
"1314","2018_00-0033122","Cluster 7"
"1315","2018_00-0033956","Cluster 1"
"1316","2018_00-0033445","Cluster 2"
"1317","2018_00-0034171","Cluster 1"
"1318","2018_00-0027762","Cluster 9"
"1319","2018_00-0030530","Cluster 9"
"1320","2018_00-0031307","Cluster 5"
"1321","2018_00-0031587","Cluster 6"
"1322","2018_00-0033050","Cluster 6"
"1323","2018_00-0033462","Cluster 3"
"1324","2018_00-0033405","Cluster 2"
"1325","2018_00-0033415","Cluster 3"
"1326","2018_00-0034789","Cluster 6"
"1327","2018_00-0034792","Cluster 3"
"1328","2018_00-0034446","Cluster 2"
"1329","2018_00-0034515","Cluster 3"
"1330","2018_00-0023368","Cluster 11"
"1331","2018_00-0026243","Cluster 7"
"1332","2018_00-0027008","Cluster 8"
"1333","2018_00-0027952","Cluster 11"
"1334","2018_00-0029600","Cluster 11"
"1335","2018_00-0030577","Cluster 10"
"1336","2018_00-0030402","Cluster 12"
"1337","2018_00-0030871","Cluster 8"
"1338","2018_00-0032800","Cluster 7"
"1339","2018_00-0033880","Cluster 7"
"1340","2018_00-0033860","Cluster 12"
"1341","2018_00-0033469","Cluster 8"
"1342","2018_00-0034454","Cluster 8"
"1343","2018_00-0030401","Cluster 4"
"1344","2018_00-0032102","Cluster 5"
"1345","2018_00-0031719","Cluster 1"
"1346","2018_00-0032627","Cluster 1"
"1347","2018_00-0033461","Cluster 4"
"1348","2018_00-0033399","Cluster 5"
"1349","2018_00-0034797","Cluster 1"
"1350","2018_00-0027547","Cluster 3"
"1351","2018_00-0027914","Cluster 9"
"1352","2018_00-0029606","Cluster 9"
"1353","2018_00-0029215","Cluster 5"
"1354","2018_00-0030575","Cluster 6"
"1355","2018_00-0031546","Cluster 6"
"1356","2018_00-0031799","Cluster 9"
"1357","2018_00-0032389","Cluster 2"
"1358","2018_00-0032454","Cluster 5"
"1359","2018_00-0034843","Cluster 2"
"1360","2018_00-0034213","Cluster 2"
"1361","2018_00-0024030","Cluster 8"
"1362","2018_00-0027885","Cluster 10"
"1363","2018_00-0027701","Cluster 11"
"1364","2018_00-0030573","Cluster 12"
"1365","2018_00-0031565","Cluster 11"
