"","yearly_id","cluster"
"160","2017_00-0030382","Cluster 1"
"161","2017_00-0032892","Cluster 4"
"162","2017_00-0033790","Cluster 1"
"163","2017_00-0033337","Cluster 5"
"164","2017_00-0033344","Cluster 5"
"165","2017_00-0027136","Cluster 6"
"166","2017_00-0030484","Cluster 6"
"167","2017_00-0032069","Cluster 3"
"168","2017_00-0031738","Cluster 5"
"169","2017_00-0033076","Cluster 9"
"170","2017_00-0032517","Cluster 2"
"171","2017_00-0032676","Cluster 5"
"172","2017_00-0033883","Cluster 9"
"173","2017_00-0033649","Cluster 2"
"174","2017_00-0030697","Cluster 10"
"175","2017_00-0032143","Cluster 10"
"176","2017_00-0031556","Cluster 7"
"177","2017_00-0032162","Cluster 8"
"178","2017_00-0033073","Cluster 11"
"179","2017_00-0033129","Cluster 11"
"180","2017_00-0032428","Cluster 7"
"181","2017_00-0032566","Cluster 12"
"182","2017_00-0033868","Cluster 11"
"183","2017_00-0033905","Cluster 8"
"184","2017_00-0033962","Cluster 8"
"185","2017_00-0030421","Cluster 1"
"186","2017_00-0031361","Cluster 4"
"187","2017_00-0033125","Cluster 4"
"188","2017_00-0032627","Cluster 1"
"189","2017_00-0033642","Cluster 7"
"190","2017_00-0026283","Cluster 6"
"191","2017_00-0030196","Cluster 9"
"192","2017_00-0031262","Cluster 3"
"193","2017_00-0032239","Cluster 9"
"194","2017_00-0033047","Cluster 6"
"195","2017_00-0033048","Cluster 5"
"196","2017_00-0033548","Cluster 2"
"197","2017_00-0033928","Cluster 6"
"198","2017_00-0033579","Cluster 2"
"199","2017_00-0029641","Cluster 11"
"200","2017_00-0030576","Cluster 10"
"201","2017_00-0030069","Cluster 7"
"202","2017_00-0030380","Cluster 7"
"203","2017_00-0033535","Cluster 8"
"204","2017_00-0031411","Cluster 11"
"205","2017_00-0031997","Cluster 12"
"206","2017_00-0033131","Cluster 12"
"207","2017_00-0033075","Cluster 7"
"208","2017_00-0032649","Cluster 10"
"209","2017_00-0033541","Cluster 7"
"210","2017_00-0027663","Cluster 4"
"211","2017_00-0029647","Cluster 5"
"212","2017_00-0031348","Cluster 4"
"213","2017_00-0032215","Cluster 1"
"214","2017_00-0033052","Cluster 1"
"215","2017_00-0026160","Cluster 6"
"216","2017_00-0027256","Cluster 9"
"217","2017_00-0028224","Cluster 6"
"218","2017_00-0031372","Cluster 2"
"219","2017_00-0032971","Cluster 9"
"220","2017_00-0032958","Cluster 2"
"221","2017_00-0032643","Cluster 3"
"222","2017_00-0033675","Cluster 5"
"223","2017_00-0033819","Cluster 5"
"224","2017_00-0024338","Cluster 10"
"225","2017_00-0029586","Cluster 12"
"226","2017_00-0031270","Cluster 12"
"227","2017_00-0031105","Cluster 8"
"228","2017_00-0033064","Cluster 12"
"229","2017_00-0032463","Cluster 10"
"230","2017_00-0033782","Cluster 8"
"231","2017_00-0027940","Cluster 11"
"232","2017_00-0029620","Cluster 4"
"233","2017_00-0031350","Cluster 5"
"234","2017_00-0031101","Cluster 11"
"235","2017_00-0031427","Cluster 4"
"236","2017_00-0032221","Cluster 11"
"237","2017_00-0032114","Cluster 7"
"238","2017_00-0027081","Cluster 9"
"239","2017_00-0029410","Cluster 4"
"240","2017_00-0030572","Cluster 2"
"241","2017_00-0030062","Cluster 6"
"242","2017_00-0031176","Cluster 2"
"243","2017_00-0031608","Cluster 2"
"244","2017_00-0032399","Cluster 2"
"245","2017_00-0032560","Cluster 5"
"246","2017_00-0033545","Cluster 5"
"247","2017_00-0024227","Cluster 12"
"248","2017_00-0029112","Cluster 7"
"249","2017_00-0030059","Cluster 11"
"250","2017_00-0030402","Cluster 12"
"251","2017_00-0031615","Cluster 8"
"252","2017_00-0032889","Cluster 12"
"253","2017_00-0032435","Cluster 11"
"254","2017_00-0033582","Cluster 8"
"255","2017_00-0033746","Cluster 7"
"256","2017_00-0033758","Cluster 7"
"257","2017_00-0028292","Cluster 1"
"258","2017_00-0029212","Cluster 4"
"259","2017_00-0029792","Cluster 1"
"260","2017_00-0032470","Cluster 5"
"261","2017_00-0033539","Cluster 4"
"262","2017_00-0033557","Cluster 1"
"263","2017_00-0027676","Cluster 9"
"264","2017_00-0028069","Cluster 6"
"265","2017_00-0031333","Cluster 9"
"266","2017_00-0032251","Cluster 6"
"267","2017_00-0031937","Cluster 5"
"268","2017_00-0031512","Cluster 5"
"269","2017_00-0032628","Cluster 9"
"270","2017_00-0032635","Cluster 2"
"271","2017_00-0032922","Cluster 5"
"272","2017_00-0033524","Cluster 2"
"273","2017_00-0033903","Cluster 2"
"274","2017_00-0033362","Cluster 2"
"275","2017_00-0029284","Cluster 12"
"276","2017_00-0033120","Cluster 10"
"277","2017_00-0032412","Cluster 12"
"278","2017_00-0033929","Cluster 8"
"279","2017_00-0024495","Cluster 7"
"280","2017_00-0027002","Cluster 11"
"281","2017_00-0029408","Cluster 11"
"282","2017_00-0030761","Cluster 1"
"283","2017_00-0031578","Cluster 1"
"284","2017_00-0032955","Cluster 7"
"285","2017_00-0032408","Cluster 4"
"286","2017_00-0032633","Cluster 11"
"287","2017_00-0033939","Cluster 7"
"288","2017_00-0033234","Cluster 7"
"289","2017_00-0024239","Cluster 6"
"290","2017_00-0027872","Cluster 6"
"291","2017_00-0027988","Cluster 9"
"292","2017_00-0029520","Cluster 5"
"293","2017_00-0030469","Cluster 2"
"294","2017_00-0029942","Cluster 3"
"295","2017_00-0031087","Cluster 9"
"296","2017_00-0031151","Cluster 3"
"297","2017_00-0031548","Cluster 6"
"298","2017_00-0032198","Cluster 2"
"299","2017_00-0031919","Cluster 5"
"300","2017_00-0032050","Cluster 1"
"301","2017_00-0033575","Cluster 3"
"302","2017_00-0027949","Cluster 11"
"303","2017_00-0031127","Cluster 10"
"304","2017_00-0032107","Cluster 8"
"305","2017_00-0031619","Cluster 8"
"306","2017_00-0032424","Cluster 12"
"307","2017_00-0032727","Cluster 8"
"308","2017_00-0033563","Cluster 12"
"309","2017_00-0029643","Cluster 11"
"310","2017_00-0031491","Cluster 5"
"311","2017_00-0031364","Cluster 11"
"312","2017_00-0031553","Cluster 4"
"313","2017_00-0032201","Cluster 3"
"314","2017_00-0032729","Cluster 7"
"315","2017_00-0032734","Cluster 7"
"316","2017_00-0033547","Cluster 4"
"317","2017_00-0033477","Cluster 11"
"318","2017_00-0033765","Cluster 1"
"319","2017_00-0033776","Cluster 7"
"320","2017_00-0027001","Cluster 6"
"321","2017_00-0029901","Cluster 6"
"322","2017_00-0031331","Cluster 3"
