"","gsis_id","offense_personnel","snap_count","team_snaps","snap_personnel_usage"
"319","00-0027993","1 RB, 3 TE, 1 WR",30,30,100
"320","00-0027993","2 RB, 0 TE, 3 WR",12,13,92.3076923076923
"321","00-0027993","2 RB, 1 TE, 2 WR",23,24,95.8333333333333
"322","00-0027993","2 RB, 2 TE, 1 WR",6,6,100
"323","00-0028002","0 RB, 0 TE, 5 WR",1,1,100
"324","00-0028002","1 RB, 0 TE, 4 WR",51,58,87.9310344827586
"325","00-0028002","1 RB, 1 TE, 3 WR",328,463,70.8423326133909
"326","00-0028002","1 RB, 2 TE, 2 WR",2,238,0.840336134453782
"327","00-0028002","1 RB, 3 TE, 1 WR",0,16,0
"328","00-0028002","2 RB, 1 TE, 2 WR",1,21,4.76190476190476
"329","00-0028042","0 RB, 1 TE, 4 WR",0,51,0
"330","00-0028042","0 RB, 2 TE, 3 WR",0,5,0
"331","00-0028042","1 RB, 0 TE, 4 WR",0,10,0
"332","00-0028042","1 RB, 1 TE, 3 WR",5,319,1.56739811912226
"333","00-0028042","1 RB, 2 TE, 2 WR",17,114,14.9122807017544
"334","00-0028042","1 RB, 3 TE, 1 WR",6,6,100
"335","00-0028042","2 RB, 0 TE, 3 WR",0,13,0
"336","00-0028042","2 RB, 1 TE, 2 WR",29,143,20.2797202797203
"337","00-0028042","2 RB, 2 TE, 1 WR",61,62,98.3870967741936
"338","00-0028042","2 RB, 3 TE, 0 WR",1,1,100
"339","00-0028042","3 RB, 0 TE, 2 WR",0,1,0
"340","00-0028063","1 RB, 0 TE, 4 WR",0,12,0
"341","00-0028063","1 RB, 1 TE, 3 WR",1,54,1.85185185185185
"342","00-0028063","1 RB, 2 TE, 2 WR",0,1,0
"343","00-0028063","2 RB, 0 TE, 3 WR",0,1,0
"344","00-0028063","2 RB, 1 TE, 2 WR",0,1,0
"345","00-0028063","2 RB, 2 TE, 1 WR",0,1,0
"346","00-0028076","1 RB, 1 TE, 3 WR",106,116,91.3793103448276
