"","yearly_id","down","snap_count","team_snaps","snap_down_usage"
"114","2021_00-0027793",2,103,161,63.9751552795031
"115","2021_00-0027793",3,59,94,62.7659574468085
"116","2021_00-0027793",4,1,3,33.3333333333333
"117","2021_00-0027857",1,492,505,97.4257425742574
"118","2021_00-0027857",2,354,362,97.7900552486188
"119","2021_00-0027857",3,208,213,97.6525821596244
"120","2021_00-0027857",4,20,27,74.0740740740741
"121","2021_00-0027875",1,18,29,62.0689655172414
"122","2021_00-0027875",2,16,27,59.2592592592593
"123","2021_00-0027875",3,11,21,52.3809523809524
"124","2021_00-0027939",1,81,198,40.9090909090909
"125","2021_00-0027939",2,59,147,40.1360544217687
"126","2021_00-0027939",3,39,100,39
"127","2021_00-0027939",4,5,17,29.4117647058824
"128","2021_00-0027942",1,357,470,75.9574468085106
"129","2021_00-0027942",2,312,378,82.5396825396825
"130","2021_00-0027942",3,206,225,91.5555555555556
"131","2021_00-0027942",4,20,26,76.9230769230769
"132","2021_00-0027944",1,170,287,59.2334494773519
"133","2021_00-0027944",2,134,219,61.1872146118721
"134","2021_00-0027944",3,104,135,77.037037037037
"135","2021_00-0027944",4,5,7,71.4285714285714
"136","2021_00-0027947",1,333,361,92.2437673130194
"137","2021_00-0027947",2,246,271,90.7749077490775
"138","2021_00-0027947",3,160,178,89.8876404494382
"139","2021_00-0027947",4,14,14,100
"140","2021_00-0027948",1,17,161,10.5590062111801
"141","2021_00-0027948",2,15,132,11.3636363636364
"142","2021_00-0027948",3,11,73,15.0684931506849
"143","2021_00-0027948",4,1,4,25
"144","2021_00-0027955",1,344,374,91.9786096256685
"145","2021_00-0027955",2,252,273,92.3076923076923
"146","2021_00-0027955",3,189,202,93.5643564356436
"147","2021_00-0027955",4,22,25,88
"148","2021_00-0027966",1,152,303,50.1650165016502
"149","2021_00-0027966",2,103,250,41.2
"150","2021_00-0027966",3,44,179,24.5810055865922
"151","2021_00-0027966",4,5,17,29.4117647058824
"152","2021_00-0027973",1,144,194,74.2268041237113
"153","2021_00-0027973",2,117,164,71.3414634146341
"154","2021_00-0027973",3,70,101,69.3069306930693
"155","2021_00-0027973",4,17,18,94.4444444444444
