"","yearly_id","down1","down2","down3","down4"
"1","2016_00-0019596",97.289972899729,96.797153024911,96.2365591397849,100
"2","2016_00-0020337",68.922305764411,74.3506493506494,77.3869346733668,53.8461538461538
"3","2016_00-0020531",100,100,100,100
"4","2016_00-0020679",34.1463414634146,38.2352941176471,41.4634146341463,100
"5","2016_00-0021206",81.5384615384615,80.6451612903226,81.4285714285714,88.8888888888889
"6","2016_00-0021429",97.2457627118644,97.0149253731343,96.4467005076142,100
"7","2016_00-0021547",51.413881748072,61.5384615384615,95.2380952380952,87.5
"8","2016_00-0021678",16.6666666666667,5.88235294117647,8.33333333333333,0
"9","2016_00-0022084",82.3255813953488,79.646017699115,86.0696517412935,87.5
"10","2016_00-0022127",96.1968680089485,96.1194029850746,95.0819672131148,75
"11","2016_00-0022531",97.3684210526316,96.9788519637462,95.3488372093023,100
"12","2016_00-0022787",8.33333333333333,11.1111111111111,18.75,0
"13","2016_00-0022803",100,100,100,100
"14","2016_00-0022921",91.4,93.2773109243697,93.8967136150235,87.5
"15","2016_00-0022924",98.7373737373737,99.3377483443709,99.492385786802,100
"16","2016_00-0022942",99.548532731377,99.3939393939394,99.4791666666667,100
"17","2016_00-0022999",20.4488778054863,17.4193548387097,30.6122448979592,10
"18","2016_00-0023436",95.7547169811321,94.8387096774194,94.5,100
"19","2016_00-0023459",98.9711934156379,99.1404011461318,98.6425339366516,94.1176470588235
"20","2016_00-0023496",83.3333333333333,85.9649122807018,96.969696969697,100
"21","2016_00-0023500",71.8614718614719,68.6567164179104,16,20
"22","2016_00-0023514",73.109243697479,74.1935483870968,72.7272727272727,0
"23","2016_00-0023516",99.748743718593,99.6666666666667,100,100
"24","2016_00-0023564",46.7362924281984,46.2540716612378,69.1919191919192,61.9047619047619
"25","2016_00-0023639",93.5211267605634,94.4055944055944,93.75,80
"26","2016_00-0023645",29.1044776119403,24.7422680412371,16.6666666666667,20
"27","2016_00-0023662",34.6938775510204,42.0289855072464,44.8979591836735,100
"28","2016_00-0023682",86.5546218487395,86.1313868613139,83.9080459770115,66.6666666666667
"29","2016_00-0024217",8.57142857142857,15.3846153846154,9.03225806451613,22.2222222222222
"30","2016_00-0024221",77.5229357798165,56.7901234567901,33.8709677419355,30
"31","2016_00-0024226",93.5185185185185,94.5945945945946,94.8275862068966,66.6666666666667
"32","2016_00-0024242",47.1571906354515,46.8468468468468,40.4255319148936,63.6363636363636
"33","2016_00-0024243",43.5424354243542,41.025641025641,26.2295081967213,40
"34","2016_00-0024244",84.9765258215963,84.6625766871166,86,75
"35","2016_00-0024264",6.66666666666667,10,7.69230769230769,0
"36","2016_00-0024268",65.0602409638554,48.5714285714286,16.0714285714286,57.1428571428571
"37","2016_00-0024270",98.3644859813084,97.9289940828402,97.0149253731343,100
"38","2016_00-0024271",100,100,100,100
"39","2016_00-0024272",3.33333333333333,0,0,0
"40","2016_00-0024281",39.0334572490706,39.1111111111111,43.2,100
"41","2016_00-0024323",99.2518703241895,98.3870967741936,98.9795918367347,100
"42","2016_00-0024334",90.5852417302799,92.5324675324675,94.7916666666667,73.3333333333333
"43","2016_00-0024389",67.5078864353312,74.2616033755274,90.7407407407407,83.3333333333333
"44","2016_00-0024424",97.5062344139651,98.0645161290323,97.9591836734694,100
"45","2016_00-0024535",2.90322580645161,3.44827586206897,2.75229357798165,0
"46","2016_00-0025390",100,100,100,100
"47","2016_00-0025394",56.578947368421,55.1724137931034,21.6216216216216,33.3333333333333
"48","2016_00-0025396",63.718820861678,66.9781931464174,68.8118811881188,90.9090909090909
"49","2016_00-0025415",100,100,100,100
"50","2016_00-0025418",92.7437641723356,92.5233644859813,97.029702970297,90.9090909090909
"51","2016_00-0025430",32.5396825396825,33.3333333333333,42.5925925925926,0
"52","2016_00-0025446",90.6666666666667,89.5061728395062,86.2745098039216,100
"53","2016_00-0025473",98.3561643835616,98.5663082437276,98.3957219251337,100
"54","2016_00-0025506",82.6989619377163,81.7427385892116,81.6455696202532,87.5
"55","2016_00-0025509",100,100,100,100
"56","2016_00-0025512",99.7340425531915,99.6376811594203,100,100
"57","2016_00-0025549",41.6267942583732,38.0664652567976,13.4883720930233,13.0434782608696
"58","2016_00-0025708",81.0810810810811,86.9047619047619,83.3333333333333,100
"59","2016_00-0025820",80.6122448979592,77.9069767441861,68.6274509803922,50
"60","2016_00-0025900",96.5014577259475,96.969696969697,93.1034482758621,100
"61","2016_00-0026008",41.3223140495868,27.807486631016,8.7719298245614,40
"62","2016_00-0026019",31.1475409836066,50,50,0
"63","2016_00-0026035",21.259842519685,29.4964028776978,65.4255319148936,57.1428571428571
"64","2016_00-0026069",26.3038548752834,26.791277258567,28.2178217821782,45.4545454545455
"65","2016_00-0026143",98.5401459854015,98.0555555555556,97.029702970297,100
"66","2016_00-0026144",22.680412371134,19.7183098591549,9.75609756097561,0
"67","2016_00-0026152",100,100,100,100
"68","2016_00-0026153",71.7086834733894,68.5606060606061,33.1325301204819,25
"69","2016_00-0026155",96.8965517241379,97.6744186046512,97.5409836065574,100
"70","2016_00-0026157",63.768115942029,65,62.1621621621622,0
"71","2016_00-0026158",97.5663716814159,98.0113636363636,97.8354978354978,100
"72","2016_00-0026164",16.5354330708661,18.75,5.55555555555556,0
"73","2016_00-0026166",93.4156378600823,91.5730337078652,95.6043956043956,100
"74","2016_00-0026176",90.3719912472648,89.9696048632219,90.9523809523809,88.2352941176471
"75","2016_00-0026182",53.0434782608696,53.0487804878049,77.9816513761468,40
"76","2016_00-0026184",62.9427792915531,58.9041095890411,20.9944751381215,25
"77","2016_00-0026189",70.3703703703704,75.4098360655738,83.3333333333333,60
"78","2016_00-0026197",3.7037037037037,0,0,0
"79","2016_00-0026201",81.3953488372093,76.1111111111111,67.3469387755102,57.1428571428571
"80","2016_00-0026205",95.8904109589041,97.2093023255814,97.2602739726027,93.3333333333333
"81","2016_00-0026213",17.8571428571429,10,11.1111111111111,0
"82","2016_00-0026223",98.4513274336283,97.4431818181818,96.969696969697,100
"83","2016_00-0026224",23.828125,28.4153005464481,50.3937007874016,50
"84","2016_00-0026248",84.5238095238095,78.6885245901639,76.3157894736842,100
"85","2016_00-0026267",55.8333333333333,59.8726114649682,89.010989010989,63.6363636363636
"86","2016_00-0026270",28.8135593220339,35.5555555555556,44.4444444444444,0
"87","2016_00-0026275",92.0821114369501,89.7321428571429,87.3239436619718,90
"88","2016_00-0026281",91.7293233082707,93.8566552901024,98,83.3333333333333
"89","2016_00-0026286",41.6452442159383,34.3434343434343,12.7659574468085,30
"90","2016_00-0026289",29.4117647058824,25.6944444444444,9.89010989010989,10
"91","2016_00-0026290",90.8333333333333,90.7216494845361,88.135593220339,100
"92","2016_00-0026293",10.3202846975089,6.63507109004739,5.3030303030303,0
"93","2016_00-0026298",62.1495327102804,45.5621301775148,23.0769230769231,0
"94","2016_00-0026327",56.9444444444444,54.5454545454545,57.6923076923077,100
"95","2016_00-0026345",74.3119266055046,82.7160493827161,87.6344086021505,80
"96","2016_00-0026370",96.4179104477612,96.734693877551,95.1048951048951,100
"97","2016_00-0026373",46.2882096069869,51.3812154696133,35.9649122807018,44.4444444444444
"98","2016_00-0026393",25.748502994012,21.259842519685,15.8536585365854,25
"99","2016_00-0026408",76.4192139737991,76.3636363636364,76.2376237623762,33.3333333333333
"100","2016_00-0026498",100,100,100,100
"101","2016_00-0026500",96.3882618510158,95.4545454545455,94.2708333333333,88.8888888888889
"102","2016_00-0026544",0,12.5,8.33333333333333,0
"103","2016_00-0026561",96.0093896713615,96.2616822429907,97.6415094339623,86.6666666666667
"104","2016_00-0026625",82.4242424242424,84.4827586206897,84.6153846153846,100
"105","2016_00-0026739",42.433234421365,48.2490272373541,66.4739884393064,37.5
"106","2016_00-0026762",93.9226519337017,94.661921708185,95.4545454545455,92.3076923076923
"107","2016_00-0026784",29.2035398230088,27.8409090909091,26.6666666666667,60
"108","2016_00-0026814",99.375,99.2217898832685,99.3243243243243,100
"109","2016_00-0026839",100,100,100,100
"110","2016_00-0026855",17.9487179487179,29.2307692307692,30,0
"111","2016_00-0026898",30,32.4324324324324,40.9090909090909,100
"112","2016_00-0026901",77.212389380531,75.2840909090909,81.3852813852814,81.25
"113","2016_00-0026929",100,100,100,100
"114","2016_00-0026932",7.69230769230769,7.69230769230769,10,0
"115","2016_00-0026950",99.8,99.7198879551821,99.5305164319249,100
"116","2016_00-0026957",22.787610619469,19.7101449275362,7.9646017699115,12.5
"117","2016_00-0026982",74.2574257425743,75,73.2142857142857,100
"118","2016_00-0026983",34.3234323432343,33.7662337662338,45.3333333333333,53.8461538461538
"119","2016_00-0026995",82.1325648414985,81.5686274509804,90.4191616766467,80
"120","2016_00-0026997",98.1751824817518,97.2222222222222,96.5346534653465,100
"121","2016_00-0026998",45,52.1739130434783,34.4827586206897,50
"122","2016_00-0026999",100,100,100,100
"123","2016_00-0027004",94.7619047619048,95.5974842767296,94.1747572815534,75
"124","2016_00-0027006",85.2601156069364,83.2116788321168,89.4179894179894,75
"125","2016_00-0027025",100,100,100,100
"126","2016_00-0027027",98.5401459854015,98.3333333333333,97.029702970297,100
"127","2016_00-0027029",69.2934782608696,65.9498207885305,51.685393258427,28.5714285714286
"128","2016_00-0027053",74.7826086956522,75.2941176470588,80,100
"129","2016_00-0027057",17.3913043478261,15.9836065573771,23.5294117647059,11.1111111111111
"130","2016_00-0027061",56.1764705882353,55.5118110236221,67.5324675324675,90
"131","2016_00-0027078",89.6805896805897,90.2097902097902,91.7582417582418,61.5384615384615
"132","2016_00-0027125",86.8525896414343,88.135593220339,92.9824561403509,100
"133","2016_00-0027135",38.7755102040816,34.0836012861736,18.7845303867403,0
"134","2016_00-0027139",35.8247422680412,26.2589928057554,20.9039548022599,54.5454545454545
"135","2016_00-0027150",80.1268498942918,83.3333333333333,92.6530612244898,71.4285714285714
"136","2016_00-0027155",52.4324324324324,51.0416666666667,44.1624365482233,47.3684210526316
"137","2016_00-0027215",43.9903846153846,39.5017793594306,6.07734806629834,30.7692307692308
"138","2016_00-0027218",6.45161290322581,4.54545454545455,0,100
"139","2016_00-0027265",75.4716981132076,77.0897832817337,80.184331797235,63.1578947368421
"140","2016_00-0027282",11.6129032258065,15.2380952380952,22.4137931034483,0
"141","2016_00-0027325",60.4651162790698,41.1111111111111,9.79591836734694,28.5714285714286
"142","2016_00-0027531",49.402390438247,45.4545454545455,18.348623853211,25
"143","2016_00-0027607",85.2112676056338,82.051282051282,81.1023622047244,100
"144","2016_00-0027609",100,100,100,100
"145","2016_00-0027648",95.9885386819484,95.2898550724638,96.3350785340314,91.6666666666667
"146","2016_00-0027651",8.87573964497041,9.9236641221374,13.1578947368421,0
"147","2016_00-0027654",11.1913357400722,12.5628140703518,6.54205607476635,0
"148","2016_00-0027656",70.8133971291866,70.4697986577181,63.6363636363636,83.3333333333333
"149","2016_00-0027658",100,100,100,100
"150","2016_00-0027667",88.1679389312977,88.1773399014778,85.4838709677419,75
"151","2016_00-0027674",96.09375,97.4226804123711,97.3913043478261,50
"152","2016_00-0027675",42.6303854875283,39.5638629283489,34.1584158415842,45.4545454545455
"153","2016_00-0027678",100,99.7109826589595,99.5670995670996,100
"154","2016_00-0027681",95.5607476635514,94.9704142011834,98.0099502487562,83.3333333333333
"155","2016_00-0027685",81.6793893129771,77.9264214046823,83.4170854271357,63.6363636363636
"156","2016_00-0027690",98.8888888888889,100,100,100
"157","2016_00-0027691",20.6976744186046,24.7787610619469,30.3482587064677,37.5
"158","2016_00-0027694",96.3917525773196,95.4861111111111,95.3488372093023,100
"159","2016_00-0027696",74.7967479674797,69.3370165745856,77.1300448430493,62.5
"160","2016_00-0027714",65.929203539823,73.2954545454545,79.6536796536797,81.25
"161","2016_00-0027717",93.0769230769231,92.8802588996764,91.6666666666667,50
"162","2016_00-0027725",18.0327868852459,18,9.61538461538462,20
"163","2016_00-0027750",79.5275590551181,81.9148936170213,75,100
"164","2016_00-0027768",94.5205479452055,93.9024390243902,93.5185185185185,100
"165","2016_00-0027778",58.2278481012658,60,54.2857142857143,0
"166","2016_00-0027791",42.3423423423423,42.1686746987952,50.9090909090909,55.5555555555556
"167","2016_00-0027793",98.5849056603774,98.4615384615385,97.1830985915493,92.8571428571429
"168","2016_00-0027816",2.5974025974026,4.47761194029851,9.09090909090909,0
"169","2016_00-0027825",23.2,15.1515151515152,6.25,50
"170","2016_00-0027854",99.2287917737789,98.6885245901639,98.3870967741936,93.3333333333333
"171","2016_00-0027857",100,100,99.2647058823529,100
"172","2016_00-0027859",100,100,100,100
"173","2016_00-0027861",14.8387096774194,16.3793103448276,19.1176470588235,0
"174","2016_00-0027864",35.9281437125749,31.9230769230769,15.3409090909091,31.25
"175","2016_00-0027869",97.4193548387097,96.6966966966967,96.039603960396,100
"176","2016_00-0027870",95.2830188679245,95.6923076923077,94.8356807511737,85.7142857142857
"177","2016_00-0027873",80,75.3501400560224,51.1737089201878,62.5
"178","2016_00-0027874",79.8982188295165,81.9397993311037,88.9447236180904,72.7272727272727
"179","2016_00-0027875",97.7366255144033,97.7077363896848,96.8325791855204,100
"180","2016_00-0027891",83.0232558139535,87.905604719764,93.0348258706468,75
"181","2016_00-0027902",81.4917127071823,83.9416058394161,88.3116883116883,50
"182","2016_00-0027905",13.8121546961326,10.4,5.47945205479452,0
"183","2016_00-0027918",50.8771929824561,62.1160409556314,89.5,55.5555555555556
"184","2016_00-0027925",37.8435517970402,31.6666666666667,9.79591836734694,28.5714285714286
"185","2016_00-0027939",97.3365617433414,97.3770491803279,98.4615384615385,90.9090909090909
"186","2016_00-0027942",82.2878228782288,79.4258373205742,83.2,100
"187","2016_00-0027944",71.047227926078,73.0407523510972,90,92.8571428571429
"188","2016_00-0027947",98.0662983425414,97.4452554744526,98.6577181208054,75
"189","2016_00-0027948",88.2352941176471,68.4210526315789,76.9230769230769,0
"190","2016_00-0027953",100,100,100,0
"191","2016_00-0027955",98.4198645598194,98.2142857142857,98.2300884955752,100
"192","2016_00-0027960",98.4848484848485,98.2089552238806,98,86.6666666666667
"193","2016_00-0027963",94.2307692307692,95.6656346749226,96.078431372549,100
"194","2016_00-0027966",45.1371571072319,45.8064516129032,39.7959183673469,30
"195","2016_00-0027973",99.7663551401869,99.7041420118343,100,100
"196","2016_00-0027974",97.3451327433628,97.979797979798,96.969696969697,100
"197","2016_00-0027981",91.304347826087,93.2721712538226,97,93.3333333333333
"198","2016_00-0027984",87.1331828442438,85.7575757575758,86.9791666666667,55.5555555555556
"199","2016_00-0027985",85.054347826087,81.5699658703072,80.7881773399015,76.9230769230769
"200","2016_00-0027986",77.257525083612,76.9911504424779,73.0769230769231,71.4285714285714
"201","2016_00-0027987",83.6538461538462,83.28173374613,81.8627450980392,87.5
